Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-23,20-073,NYK,@,SAS,L (-9),0,21:10,5,9,.556,3,4,.750,0,0,,0,5,5,0,0,0,1,5,13,7.2,-11,2020,knoxke01,https://www.basketball-reference.com/players/k/knoxke01/gamelog/2020
2,2,2019-10-25,20-075,NYK,@,BRK,L (-4),0,28:40,5,8,.625,4,4,1.000,2,2,1.000,0,1,1,2,1,0,0,3,16,13.9,+2,2020,knoxke01,https://www.basketball-reference.com/players/k/knoxke01/gamelog/2020
3,3,2019-10-26,20-076,NYK,,BOS,L (-23),0,25:40,2,7,.286,0,3,.000,3,6,.500,0,8,8,0,0,0,1,1,7,2.7,-28,2020,knoxke01,https://www.basketball-reference.com/players/k/knoxke01/gamelog/2020
4,4,2019-10-28,20-078,NYK,,CHI,W (+7),0,16:36,4,9,.444,2,5,.400,4,4,1.000,1,1,2,2,1,0,2,3,14,9.5,+3,2020,knoxke01,https://www.basketball-reference.com/players/k/knoxke01/gamelog/2020
5,5,2019-10-30,20-080,NYK,@,ORL,L (-12),0,22:30,3,10,.300,2,5,.400,2,2,1.000,1,2,3,2,0,1,1,1,10,6.2,+5,2020,knoxke01,https://www.basketball-reference.com/players/k/knoxke01/gamelog/2020
6,6,2019-11-01,20-082,NYK,@,BOS,L (-2),0,28:42,5,12,.417,2,7,.286,0,0,,3,1,4,3,1,0,0,2,12,10.3,+4,2020,knoxke01,https://www.basketball-reference.com/players/k/knoxke01/gamelog/2020
7,7,2019-11-03,20-084,NYK,,SAC,L (-21),0,20:40,0,4,.000,0,3,.000,2,6,.333,0,3,3,1,1,0,1,0,2,-0.8,-3,2020,knoxke01,https://www.basketball-reference.com/players/k/knoxke01/gamelog/2020
8,8,2019-11-06,20-087,NYK,@,DET,L (-20),0,26:52,5,7,.714,2,3,.667,2,2,1.000,0,2,2,1,2,0,1,1,14,13.0,-13,2020,knoxke01,https://www.basketball-reference.com/players/k/knoxke01/gamelog/2020
9,9,2019-11-08,20-089,NYK,@,DAL,W (+4),0,14:48,2,4,.500,2,2,1.000,0,0,,0,3,3,0,0,0,0,0,6,4.9,-1,2020,knoxke01,https://www.basketball-reference.com/players/k/knoxke01/gamelog/2020
10,10,2019-11-10,20-091,NYK,,CLE,L (-21),0,22:18,2,9,.222,1,5,.200,4,6,.667,2,1,3,2,2,2,1,3,9,7.0,+9,2020,knoxke01,https://www.basketball-reference.com/players/k/knoxke01/gamelog/2020
