Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2015-10-28,32-000,BRK,,CHI,L (-15),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
2,1,2015-10-30,32-002,BRK,@,SAS,L (-27),1,26:57,5,13,.385,2,3,.667,0,0,,0,6,6,7,1,0,2,0,12,10.6,-24,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
3,2,2015-10-31,32-003,BRK,@,MEM,L (-10),1,35:22,7,17,.412,0,3,.000,1,1,1.000,1,2,3,9,0,0,2,3,15,10.3,-6,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
4,3,2015-11-02,32-005,BRK,,MIL,L (-7),1,34:34,5,11,.455,1,1,1.000,4,5,.800,0,3,3,4,0,0,5,3,15,6.4,+3,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
5,4,2015-11-04,32-007,BRK,@,ATL,L (-14),1,27:08,3,10,.300,0,2,.000,0,0,,2,3,5,5,0,1,2,5,6,2.7,-3,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
6,5,2015-11-06,32-009,BRK,,LAL,L (-6),1,37:35,8,22,.364,1,6,.167,1,2,.500,1,6,7,12,1,0,2,4,18,13.7,+7,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
7,6,2015-11-07,32-010,BRK,@,MIL,L (-8),1,29:43,3,10,.300,1,2,.500,3,3,1.000,0,6,6,2,0,0,5,1,10,2.0,-15,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
8,7,2015-11-11,32-014,BRK,@,HOU,W (+8),1,27:40,3,10,.300,1,3,.333,0,0,,0,6,6,6,1,0,1,3,7,6.0,-11,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
9,8,2015-11-13,32-016,BRK,@,SAC,L (-2),1,33:03,5,10,.500,1,3,.333,10,11,.909,0,1,1,12,1,0,1,1,21,23.9,+1,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
10,9,2015-11-14,32-017,BRK,@,GSW,L (-8),1,43:45,9,20,.450,2,5,.400,8,8,1.000,0,4,4,9,2,0,2,3,28,23.9,-3,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
11,10,2015-11-17,32-020,BRK,,ATL,W (+2),1,34:29,5,10,.500,3,5,.600,1,3,.333,0,3,3,8,1,0,2,3,14,12.5,+5,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
12,11,2015-11-18,32-021,BRK,@,CHO,L (-5),1,33:24,6,12,.500,2,4,.500,2,2,1.000,0,8,8,9,0,2,3,3,16,15.9,+4,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
13,12,2015-11-20,32-023,BRK,@,BOS,L (-25),1,23:57,3,8,.375,1,3,.333,4,4,1.000,0,2,2,5,0,0,7,1,11,3.3,-15,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
14,13,2015-11-22,32-025,BRK,,BOS,W (+10),1,32:42,7,11,.636,0,1,.000,8,10,.800,0,4,4,4,1,0,2,3,22,18.1,+3,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
15,14,2015-11-25,32-028,BRK,@,OKC,L (-11),1,25:43,4,8,.500,1,2,.500,0,0,,0,2,2,3,1,0,3,5,9,3.7,-4,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
16,15,2015-11-28,32-031,BRK,@,CLE,L (-2),1,35:24,3,13,.231,2,5,.400,4,4,1.000,0,5,5,14,0,0,3,2,12,11.6,+6,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
17,16,2015-11-29,32-032,BRK,,DET,W (+4),1,26:42,4,9,.444,1,2,.500,2,2,1.000,0,5,5,4,1,0,5,2,11,5.8,0,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
18,17,2015-12-01,32-034,BRK,,PHO,W (+3),1,29:35,4,11,.364,0,2,.000,3,3,1.000,0,4,4,8,3,0,3,3,11,10.5,0,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
19,18,2015-12-04,32-037,BRK,@,NYK,L (-17),1,23:38,2,6,.333,1,2,.500,0,0,,0,3,3,1,1,0,2,2,5,1.4,-24,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
20,19,2015-12-06,32-039,BRK,,GSW,L (-16),1,37:23,3,13,.231,0,3,.000,5,6,.833,0,4,4,5,1,0,3,2,11,4.6,-15,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
21,20,2015-12-08,32-041,BRK,,HOU,W (+5),1,37:26,4,8,.500,0,1,.000,2,2,1.000,1,4,5,9,3,0,5,2,10,11.4,+8,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
22,21,2015-12-10,32-043,BRK,,PHI,W (+9),1,27:05,2,7,.286,1,2,.500,0,0,,1,5,6,8,0,0,3,2,5,4.9,-4,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
23,22,2015-12-12,32-045,BRK,,LAC,L (-5),1,37:13,4,10,.400,1,4,.250,7,9,.778,0,5,5,11,1,0,3,3,16,15.8,-12,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
24,23,2015-12-14,32-047,BRK,,ORL,L (-23),1,26:18,5,9,.556,1,3,.333,4,5,.800,0,5,5,7,0,0,3,1,15,13.3,-14,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
25,24,2015-12-16,32-049,BRK,,MIA,L (-6),1,35:39,7,14,.500,1,5,.200,7,8,.875,0,2,2,10,2,0,2,2,22,21.4,0,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
26,25,2015-12-18,32-051,BRK,@,IND,L (-7),1,38:55,8,15,.533,3,6,.500,7,7,1.000,0,9,9,6,3,2,3,2,26,26.2,-3,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
27,26,2015-12-20,32-053,BRK,,MIN,L (-15),1,29:38,2,9,.222,0,5,.000,0,0,,0,3,3,6,1,0,3,5,4,-0.4,-14,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
28,27,2015-12-21,32-054,BRK,@,CHI,W (+3),1,32:00,2,9,.222,0,2,.000,2,2,1.000,1,2,3,8,1,1,4,0,6,5.1,+7,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
29,28,2015-12-23,32-056,BRK,,DAL,L (-1),1,45:05,4,14,.286,2,5,.400,3,3,1.000,1,4,5,8,1,0,2,1,13,10.9,+7,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
30,29,2015-12-26,32-059,BRK,,WAS,L (-15),1,32:27,7,15,.467,1,4,.250,0,0,,0,2,2,11,3,0,4,4,15,13.0,-17,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
31,30,2015-12-28,32-061,BRK,@,MIA,W (+6),1,30:19,4,8,.500,1,3,.333,9,9,1.000,1,3,4,6,2,0,3,2,18,18.0,-4,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
32,31,2015-12-30,32-063,BRK,@,ORL,L (-7),1,33:02,2,11,.182,0,4,.000,1,1,1.000,0,5,5,10,2,0,3,2,5,4.8,-2,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
33,32,2016-01-02,32-066,BRK,@,BOS,W (+3),1,22:48,0,5,.000,0,1,.000,2,2,1.000,0,1,1,9,0,1,1,2,2,4.0,+8,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
34,,2016-01-04,32-068,BRK,,BOS,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
35,,2016-01-06,32-070,BRK,,TOR,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
36,,2016-01-08,32-072,BRK,,ORL,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
37,,2016-01-09,32-073,BRK,@,DET,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
38,,2016-01-11,32-075,BRK,,SAS,L (-27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
39,,2016-01-13,32-077,BRK,,NYK,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
40,,2016-01-15,32-079,BRK,,POR,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
41,,2016-01-16,32-080,BRK,@,ATL,L (-28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
42,,2016-01-18,32-082,BRK,@,TOR,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
43,,2016-01-20,32-084,BRK,,CLE,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
44,,2016-01-22,32-086,BRK,,UTA,L (-22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
45,,2016-01-24,32-088,BRK,,OKC,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
46,,2016-01-26,32-090,BRK,,MIA,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
47,,2016-01-29,32-093,BRK,@,DAL,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
48,,2016-01-30,32-094,BRK,@,NOP,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
49,,2016-02-01,32-096,BRK,,DET,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
50,,2016-02-03,32-098,BRK,,IND,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
51,,2016-02-05,32-100,BRK,,SAC,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
52,,2016-02-06,32-101,BRK,@,PHI,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,jackja01,https://www.basketball-reference.com/players/j/jackja01/gamelog/2016
