Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
22,,2015-12-07,25-036,POR,@,MIL,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
23,12,2015-12-08,25-037,POR,@,CLE,L (-5),0,4:44,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,0,0,-1.0,-9,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
24,,2015-12-11,25-040,POR,@,PHO,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
25,,2015-12-12,25-041,POR,,NYK,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
26,13,2015-12-14,25-043,POR,,NOP,W (+4),0,3:38,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-0.7,+2,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
27,14,2015-12-16,25-045,POR,@,OKC,L (-16),0,10:51,2,3,.667,1,1,1.000,0,0,,0,0,0,1,0,0,2,2,5,1.6,+9,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
28,,2015-12-18,25-047,POR,@,ORL,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
29,15,2015-12-20,25-049,POR,@,MIA,L (-7),0,0:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
30,16,2015-12-21,25-050,POR,@,ATL,L (-9),1,47:35,5,15,.333,0,4,.000,2,3,.667,2,5,7,7,2,1,5,5,12,6.6,-6,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
31,17,2015-12-23,25-052,POR,@,NOP,L (-26),0,18:20,0,5,.000,0,2,.000,1,2,.500,1,2,3,1,1,0,1,2,1,-1.7,-17,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
32,18,2015-12-26,25-055,POR,,CLE,W (+29),0,18:05,1,4,.250,0,1,.000,0,0,,0,3,3,4,1,0,3,0,2,1.3,-8,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
33,19,2015-12-27,25-056,POR,@,SAC,W (+4),0,24:51,3,6,.500,0,1,.000,2,2,1.000,0,5,5,2,1,0,3,2,8,5.1,+11,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
34,20,2015-12-30,25-059,POR,,DEN,W (+7),0,12:01,1,2,.500,1,1,1.000,1,2,.500,1,1,2,3,1,0,1,1,4,5.3,+4,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
35,21,2015-12-31,25-060,POR,@,UTA,L (-13),0,23:12,0,3,.000,0,1,.000,0,0,,1,0,1,3,0,0,1,3,0,-1.5,+2,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
36,22,2016-01-03,25-063,POR,@,DEN,W (+6),0,15:16,3,4,.750,1,1,1.000,0,0,,2,3,5,2,0,0,2,0,7,7.1,0,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
37,23,2016-01-04,25-064,POR,,MEM,L (-13),0,1:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,0,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
38,24,2016-01-06,25-066,POR,,LAC,L (-11),0,8:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,3,2,-0.2,-8,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
39,25,2016-01-08,25-068,POR,,GSW,L (-20),0,4:42,0,1,.000,0,0,,0,0,,0,0,0,2,1,0,0,0,0,1.7,-1,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
40,,2016-01-10,25-070,POR,,OKC,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
41,26,2016-01-13,25-073,POR,,UTA,W (+14),0,3:16,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-3,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
42,27,2016-01-15,25-075,POR,@,BRK,W (+12),0,0:35,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
43,28,2016-01-16,25-076,POR,@,PHI,L (-25),0,12:00,1,3,.333,0,2,.000,1,2,.500,0,1,1,5,1,0,0,2,3,4.9,+3,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
44,29,2016-01-18,25-078,POR,@,WAS,W (+10),0,1:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
45,,2016-01-20,25-080,POR,,ATL,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
46,30,2016-01-23,25-083,POR,,LAL,W (+18),0,3:43,0,1,.000,0,0,,1,2,.500,1,0,1,1,0,0,0,0,1,1.3,-2,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
47,31,2016-01-26,25-086,POR,,SAC,W (+15),0,3:22,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,0,1,0,0.3,-5,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
48,,2016-01-29,25-089,POR,,CHO,W (+18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
49,,2016-01-31,25-091,POR,,MIN,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
50,32,2016-02-02,25-093,POR,,MIL,W (+12),0,1:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
51,,2016-02-04,25-095,POR,,TOR,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
52,33,2016-02-06,25-097,POR,@,HOU,W (+17),0,15:28,1,2,.500,0,0,,0,2,.000,1,1,2,1,0,0,1,1,2,0.5,+11,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
53,34,2016-02-08,25-099,POR,@,MEM,W (+6),0,1:54,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
54,35,2016-02-10,25-101,POR,,HOU,W (+13),0,0:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
55,36,2016-03-16,25-136,NOP,@,SAC,W (+15),0,26:32,6,10,.600,0,2,.000,2,2,1.000,0,3,3,9,1,0,0,2,14,16.8,+4,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
56,37,2016-03-18,25-138,NOP,,POR,L (-5),0,26:40,4,6,.667,1,1,1.000,4,5,.800,0,3,3,4,0,0,4,2,13,8.9,+1,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
57,38,2016-03-20,25-140,NOP,,LAC,W (+4),0,20:03,5,8,.625,1,1,1.000,6,7,.857,2,5,7,2,4,0,5,5,17,14.3,-1,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
58,39,2016-03-22,25-142,NOP,,MIA,L (-14),0,28:18,3,10,.300,1,2,.500,4,4,1.000,0,2,2,4,0,0,1,2,11,6.8,-7,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
59,40,2016-03-24,25-144,NOP,@,IND,L (-8),0,28:40,7,11,.636,1,1,1.000,3,3,1.000,2,3,5,5,0,0,6,2,18,12.1,-5,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
60,41,2016-03-26,25-146,NOP,,TOR,L (-24),0,28:42,5,9,.556,0,1,.000,2,2,1.000,1,2,3,6,0,0,2,1,12,10.8,-9,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
61,42,2016-03-28,25-148,NOP,,NYK,W (+8),0,22:49,1,7,.143,0,1,.000,2,6,.333,0,6,6,2,2,0,1,1,4,1.7,-2,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
62,43,2016-03-30,25-150,NOP,@,SAS,L (-8),0,24:55,4,8,.500,0,0,,3,4,.750,1,2,3,7,2,0,3,2,11,11.0,+3,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
63,44,2016-03-31,25-151,NOP,,DEN,W (+6),0,29:18,6,12,.500,3,5,.600,2,2,1.000,1,4,5,8,0,0,2,3,17,15.3,+6,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
64,45,2016-04-03,25-154,NOP,@,BRK,W (+19),0,37:21,7,11,.636,2,3,.667,3,4,.750,0,2,2,13,3,0,0,3,19,25.2,+30,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
65,46,2016-04-05,25-156,NOP,@,PHI,L (-14),1,35:36,4,12,.333,0,2,.000,4,4,1.000,3,3,6,9,3,0,1,2,12,15.7,+5,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
66,47,2016-04-06,25-157,NOP,@,BOS,L (-7),0,33:50,7,14,.500,1,2,.500,3,3,1.000,0,5,5,6,2,1,4,3,18,14.2,-2,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
67,48,2016-04-08,25-159,NOP,,LAL,W (+8),0,26:23,3,7,.429,1,2,.500,0,2,.000,0,3,3,12,1,0,3,3,7,8.6,+2,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
68,49,2016-04-09,25-160,NOP,,PHO,L (-21),0,31:20,5,14,.357,1,3,.333,0,2,.000,3,5,8,7,1,0,1,2,11,10.1,-5,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
69,50,2016-04-11,25-162,NOP,,CHI,L (-5),0,32:58,6,15,.400,1,3,.333,7,9,.778,1,5,6,11,3,0,2,5,20,20.0,-8,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
70,51,2016-04-13,25-164,NOP,@,MIN,L (-35),0,35:59,3,15,.200,0,2,.000,0,0,,1,3,4,15,1,0,3,4,6,5.2,-21,2016,fraziti01,https://www.basketball-reference.com/players/f/fraziti01/gamelog/2016
