Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
19,19,2016-11-29,23-348,NOP,,LAL,W (+17),0,1:28,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
20,20,2016-12-02,23-351,NOP,,LAC,L (-18),0,3:09,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,4,3.4,-1,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
21,21,2016-12-04,23-353,NOP,@,OKC,L (-9),0,15:03,6,12,.500,4,7,.571,0,0,,1,3,4,1,0,0,1,0,16,11.3,+9,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
22,22,2016-12-05,23-354,NOP,,MEM,L (-2),1,24:24,3,8,.375,2,5,.400,0,0,,0,3,3,1,1,0,0,2,8,5.4,-13,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
23,23,2016-12-08,23-357,NOP,,PHI,L (-11),1,34:08,2,12,.167,2,6,.333,0,0,,0,4,4,2,0,0,1,1,6,-0.4,-2,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
24,24,2016-12-10,23-359,NOP,@,LAC,L (-28),1,35:48,6,13,.462,2,5,.400,1,1,1.000,0,3,3,5,0,0,2,0,15,10.7,-29,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
25,25,2016-12-11,23-360,NOP,@,PHO,W (+1),1,13:21,3,7,.429,2,4,.500,1,2,.500,0,1,1,0,0,0,0,0,9,5.2,+3,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
26,26,2016-12-13,23-362,NOP,,GSW,L (-4),1,17:58,3,7,.429,1,3,.333,0,0,,0,3,3,1,0,1,0,1,7,5.2,-8,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
27,27,2016-12-15,23-364,NOP,,IND,W (+7),1,33:24,8,17,.471,5,8,.625,0,0,,2,2,4,2,0,0,2,2,21,12.9,+10,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
28,28,2016-12-16,23-365,NOP,@,HOU,L (-22),1,25:43,4,10,.400,3,4,.750,0,0,,0,5,5,1,0,0,2,4,11,4.2,-8,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
29,29,2016-12-18,24-001,NOP,@,SAS,L (-13),1,25:08,6,11,.545,2,4,.500,0,0,,1,2,3,2,0,0,2,1,14,9.0,-16,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
30,30,2016-12-20,24-003,NOP,@,PHI,W (+15),1,20:56,4,9,.444,2,2,1.000,0,0,,0,1,1,1,0,0,2,1,10,3.9,0,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
31,31,2016-12-21,24-004,NOP,,OKC,L (-11),1,19:25,0,3,.000,0,3,.000,2,2,1.000,0,1,1,1,0,0,1,2,2,-0.9,-1,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
32,32,2016-12-23,24-006,NOP,,MIA,W (+4),1,17:59,1,8,.125,1,4,.250,0,0,,0,3,3,2,1,0,0,0,3,1.1,-10,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
33,33,2016-12-26,24-009,NOP,,DAL,W (+7),1,23:14,6,8,.750,2,4,.500,0,0,,0,2,2,2,0,0,0,1,14,12.4,+11,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
34,34,2016-12-28,24-011,NOP,,LAC,W (+4),1,23:01,7,11,.636,3,5,.600,0,0,,1,5,6,0,1,0,1,1,17,13.9,-2,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
35,35,2016-12-30,24-013,NOP,,NYK,W (+12),1,23:48,3,9,.333,2,5,.400,4,4,1.000,0,2,2,1,0,0,1,0,12,7.2,+9,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
36,36,2017-01-02,24-016,NOP,@,CLE,L (-8),1,34:34,6,13,.462,4,6,.667,4,4,1.000,0,5,5,2,0,0,2,3,20,13.0,+6,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
37,37,2017-01-05,24-019,NOP,,ATL,L (-5),1,30:42,5,16,.313,4,9,.444,1,1,1.000,2,5,7,4,1,0,0,2,15,11.7,-17,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
38,38,2017-01-07,24-021,NOP,@,BOS,L (-9),1,24:14,3,9,.333,3,5,.600,0,0,,0,5,5,3,0,0,1,2,9,5.7,-14,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
39,39,2017-01-09,24-023,NOP,@,NYK,W (+14),1,27:26,4,7,.571,3,5,.600,0,0,,0,3,3,3,3,0,0,0,11,13.7,+16,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
40,40,2017-01-12,24-026,NOP,@,BRK,W (+9),1,24:15,2,9,.222,1,6,.167,0,0,,3,2,5,1,0,0,1,2,5,1.1,+12,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
41,41,2017-01-14,24-028,NOP,@,CHI,L (-8),1,12:20,1,5,.200,0,1,.000,0,0,,0,2,2,0,0,0,2,1,2,-2.9,-9,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
42,42,2017-01-16,24-030,NOP,@,IND,L (-3),1,14:59,4,5,.800,2,3,.667,0,0,,0,4,4,0,0,1,2,1,10,7.6,-14,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
43,43,2017-01-18,24-032,NOP,,ORL,W (+20),1,24:07,4,11,.364,2,8,.250,0,1,.000,0,4,4,3,0,0,1,2,10,5.0,-2,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
44,44,2017-01-20,24-034,NOP,,BRK,L (-29),1,22:29,4,8,.500,1,3,.333,2,2,1.000,1,2,3,1,0,0,0,2,11,8.2,-9,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
45,45,2017-01-23,24-037,NOP,,CLE,W (+2),1,17:39,1,4,.250,1,2,.500,0,0,,0,2,2,1,0,1,1,1,3,1.2,-2,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
46,46,2017-01-25,24-039,NOP,,OKC,L (-9),1,23:22,2,10,.200,1,3,.333,0,0,,0,3,3,1,0,0,0,1,5,0.0,-2,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
47,47,2017-01-27,24-041,NOP,,SAS,W (+16),1,13:03,2,7,.286,1,3,.333,0,0,,1,1,2,2,0,0,1,2,5,1.5,-4,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
48,48,2017-01-29,24-043,NOP,,WAS,L (-13),1,16:27,0,5,.000,0,3,.000,0,0,,0,2,2,0,0,0,2,2,0,-5.7,+1,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
49,49,2017-01-31,24-045,NOP,@,TOR,L (-2),1,32:43,6,9,.667,3,5,.600,0,0,,0,6,6,0,0,1,1,2,15,11.8,-12,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
50,50,2017-02-01,24-046,NOP,@,DET,L (-20),1,21:25,2,7,.286,1,6,.167,0,0,,0,6,6,1,1,0,1,3,5,2.2,+5,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
51,51,2017-02-04,24-049,NOP,@,WAS,L (-14),1,23:25,3,10,.300,0,3,.000,0,0,,1,2,3,2,0,0,1,2,6,1.1,-1,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
52,52,2017-02-06,24-051,NOP,,PHO,W (+5),1,27:32,4,9,.444,3,5,.600,0,0,,1,2,3,4,0,0,0,2,11,9.6,+18,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
53,53,2017-02-08,24-053,NOP,,UTA,L (-33),1,19:22,3,7,.429,2,6,.333,0,0,,0,2,2,0,1,0,0,3,8,4.7,-15,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
54,54,2017-02-10,24-055,NOP,@,MIN,W (+16),1,21:47,7,10,.700,2,4,.500,1,1,1.000,0,4,4,1,0,0,1,3,17,12.5,+14,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
55,55,2017-02-12,24-057,NOP,@,SAC,L (-6),1,14:22,2,5,.400,1,3,.333,0,0,,0,0,0,2,0,0,0,2,5,2.9,+3,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
56,56,2017-02-13,24-058,NOP,@,PHO,W (+2),1,23:21,2,7,.286,2,5,.400,2,3,.667,0,5,5,3,2,0,1,1,8,7.7,-2,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
57,57,2017-02-15,24-060,NOP,@,MEM,W (+4),1,18:02,2,4,.500,1,2,.500,0,0,,0,2,2,1,1,0,0,1,5,4.9,+11,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
58,58,2017-02-23,24-068,SAC,,DEN,W (+16),0,26:12,6,10,.600,1,3,.333,3,3,1.000,0,6,6,1,1,0,1,0,16,13.9,+8,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
59,59,2017-02-25,24-070,SAC,,CHO,L (-14),0,26:13,5,10,.500,2,5,.400,3,3,1.000,0,1,1,2,0,0,3,1,15,8.3,-3,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
60,60,2017-02-27,24-072,SAC,,MIN,L (-14),0,26:47,3,8,.375,1,5,.200,1,2,.500,0,5,5,0,1,0,4,1,8,1.3,-14,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
61,61,2017-03-01,24-074,SAC,,BRK,L (-9),0,26:19,6,11,.545,4,6,.667,0,0,,1,0,1,0,2,0,3,2,16,9.6,0,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
62,62,2017-03-05,24-078,SAC,,UTA,L (-1),0,18:37,4,7,.571,2,4,.500,0,0,,0,2,2,1,1,0,5,0,10,4.0,+11,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
63,63,2017-03-06,24-079,SAC,@,DEN,L (-12),0,23:15,4,7,.571,2,2,1.000,4,5,.800,0,3,3,0,1,0,4,1,14,7.8,+2,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
64,64,2017-03-08,24-081,SAC,@,SAS,L (-10),0,18:26,4,9,.444,3,5,.600,0,0,,0,2,2,1,0,0,1,0,11,6.6,-9,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
65,65,2017-03-10,24-083,SAC,,WAS,L (-8),1,36:52,7,16,.438,4,8,.500,0,0,,2,2,4,1,0,0,2,4,18,8.7,-7,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
66,66,2017-03-11,24-084,SAC,,DEN,L (-13),1,30:02,6,8,.750,3,5,.600,2,2,1.000,2,4,6,3,1,0,2,0,17,17.5,+1,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
67,67,2017-03-13,24-086,SAC,,ORL,W (+5),1,31:23,6,13,.462,2,6,.333,3,4,.750,0,6,6,2,2,0,2,1,17,12.7,+11,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
68,68,2017-03-15,24-088,SAC,@,PHO,W (+6),1,21:18,3,7,.429,1,3,.333,0,0,,0,2,2,0,0,1,2,3,7,1.4,-15,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
69,69,2017-03-18,24-091,SAC,@,OKC,L (-16),1,32:20,4,12,.333,2,8,.250,1,1,1.000,0,1,1,0,1,0,2,1,11,3.1,-5,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
70,70,2017-03-19,24-092,SAC,@,SAS,L (-16),1,32:04,8,14,.571,2,3,.667,0,0,,0,5,5,5,1,0,0,0,18,17.4,-12,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
71,71,2017-03-22,24-095,SAC,,MIL,L (-18),1,35:43,8,16,.500,2,6,.333,3,5,.600,1,3,4,2,1,0,1,0,21,15.2,-5,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
72,72,2017-03-24,24-097,SAC,@,GSW,L (-14),1,33:21,7,14,.500,4,9,.444,4,4,1.000,2,6,8,7,2,0,3,3,22,20.9,+1,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
73,73,2017-03-26,24-099,SAC,@,LAC,W (+1),1,23:13,5,12,.417,3,8,.375,2,2,1.000,1,6,7,2,1,0,0,0,15,13.5,-1,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
74,74,2017-03-27,24-100,SAC,,MEM,W (+1),1,33:30,5,12,.417,2,7,.286,2,2,1.000,0,4,4,0,0,0,1,1,14,7.4,+4,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
75,75,2017-03-29,24-102,SAC,,UTA,L (-30),1,29:34,1,7,.143,0,3,.000,0,0,,0,2,2,1,1,0,1,0,2,-1.2,-29,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
76,76,2017-03-31,24-104,SAC,@,NOP,L (-28),1,24:56,6,9,.667,1,4,.250,0,0,,2,6,8,3,1,1,4,1,13,11.7,-4,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
77,77,2017-04-01,24-105,SAC,@,MIN,W (+6),1,34:16,9,15,.600,4,6,.667,0,0,,0,4,4,1,1,0,1,3,22,15.8,-3,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
78,78,2017-04-04,24-108,SAC,,DAL,W (+11),1,30:04,5,14,.357,4,7,.571,2,2,1.000,1,3,4,3,0,0,2,0,16,9.9,+8,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
79,79,2017-04-07,24-111,SAC,@,LAL,L (-4),1,30:22,7,14,.500,3,5,.600,0,0,,0,1,1,2,1,0,4,2,17,7.9,+1,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
80,80,2017-04-09,24-113,SAC,,HOU,L (-7),1,32:20,4,16,.250,1,8,.125,3,4,.750,1,5,6,3,0,0,1,3,12,4.1,-10,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
81,81,2017-04-11,24-115,SAC,,PHO,W (+25),1,32:33,12,20,.600,4,8,.500,2,3,.667,1,4,5,0,1,0,2,4,30,19.7,+21,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
82,82,2017-04-12,24-116,SAC,@,LAC,L (-20),1,37:13,7,15,.467,2,4,.500,0,1,.000,2,4,6,4,0,0,2,3,16,10.1,-13,2017,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01/gamelog/2017
