Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
13,8,2021-01-18,21-213,GSW,@,LAL,W (+2),0,5:23,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,+10,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
14,9,2021-01-20,21-215,GSW,,SAS,W (+22),0,8:56,3,6,.500,3,4,.750,0,0,,0,0,0,0,0,0,2,2,9,3.2,-5,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
15,10,2021-01-21,21-216,GSW,,NYK,L (-15),0,8:21,0,3,.000,0,3,.000,1,2,.500,0,2,2,1,0,0,0,1,1,-0.6,+3,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
16,11,2021-01-23,21-218,GSW,@,UTA,L (-19),0,18:18,3,7,.429,1,4,.250,3,3,1.000,0,3,3,4,2,0,1,0,10,11.0,+10,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
17,12,2021-01-25,21-220,GSW,,MIN,W (+22),0,2:27,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,0,2,2.3,+3,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
18,13,2021-01-27,21-222,GSW,,MIN,W (+12),0,1:37,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
19,14,2021-01-28,21-223,GSW,@,PHO,L (-21),0,5:38,3,5,.600,1,3,.333,0,0,,0,1,1,0,0,1,0,0,7,5.7,+2,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
20,15,2021-01-30,21-225,GSW,,DET,W (+27),0,20:42,4,8,.500,3,6,.500,5,5,1.000,1,1,2,1,0,1,1,4,16,11.8,+2,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
21,,2021-02-02,21-228,GSW,,BOS,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
22,,2021-02-04,21-230,GSW,@,DAL,W (+31),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
23,,2021-02-06,21-232,GSW,@,DAL,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
24,,2021-02-08,21-234,GSW,@,SAS,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
25,,2021-02-09,21-235,GSW,@,SAS,W (+23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
26,,2021-02-11,21-237,GSW,,ORL,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
27,,2021-02-13,21-239,GSW,,BRK,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
28,,2021-02-15,21-241,GSW,,CLE,W (+31),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
29,,2021-02-17,21-243,GSW,,MIA,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
30,,2021-02-19,21-245,GSW,@,ORL,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
31,,2021-02-20,21-246,GSW,@,CHO,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
32,,2021-02-23,21-249,GSW,@,NYK,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
33,,2021-02-24,21-250,GSW,@,IND,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
34,,2021-02-26,21-252,GSW,,CHO,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
35,,2021-02-28,21-254,GSW,@,LAL,L (-26),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
36,,2021-03-03,21-257,GSW,@,POR,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
37,16,2021-03-04,21-258,GSW,@,PHO,L (-22),0,26:11,10,16,.625,5,10,.500,1,1,1.000,0,3,3,1,1,1,0,0,26,22.1,-7,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
38,17,2021-03-11,21-265,GSW,@,LAC,L (-26),0,19:40,5,10,.500,2,6,.333,2,2,1.000,0,3,3,4,0,0,0,2,14,11.9,-2,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
39,18,2021-03-14,21-268,GSW,,UTA,W (+12),0,21:40,6,11,.545,3,5,.600,3,4,.750,0,0,0,3,0,0,0,2,18,13.6,+4,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
40,19,2021-03-15,21-269,GSW,,LAL,L (-31),0,20:38,5,10,.500,1,5,.200,3,4,.750,0,2,2,1,0,0,2,1,14,7.5,-18,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
41,20,2021-03-17,21-271,GSW,@,HOU,W (+14),0,24:14,8,16,.500,6,11,.545,1,1,1.000,0,1,1,2,2,0,0,3,23,17.5,+19,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
42,21,2021-03-19,21-273,GSW,@,MEM,W (+13),1,34:11,10,15,.667,3,6,.500,2,2,1.000,1,1,2,2,1,0,0,2,25,21.1,0,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
43,22,2021-03-20,21-274,GSW,@,MEM,L (-8),1,38:03,10,21,.476,3,9,.333,3,3,1.000,0,4,4,5,1,0,0,4,26,19.4,-12,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
44,23,2021-03-23,21-277,GSW,,PHI,L (-10),1,38:54,5,16,.313,2,9,.222,7,7,1.000,0,4,4,2,0,0,4,0,19,8.4,-8,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
45,24,2021-03-25,21-279,GSW,@,SAC,L (-22),1,29:39,5,13,.385,2,6,.333,5,5,1.000,1,2,3,5,0,0,1,3,17,12.5,-8,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
46,25,2021-03-26,21-280,GSW,,ATL,L (-16),1,32:25,5,11,.455,3,6,.500,2,3,.667,0,0,0,4,0,0,3,2,15,7.9,-8,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
47,26,2021-03-29,21-283,GSW,,CHI,W (+14),0,17:56,3,8,.375,1,6,.167,0,0,,0,1,1,1,1,0,2,1,7,2.2,+7,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
48,27,2021-04-01,21-286,GSW,@,MIA,L (-7),0,12:45,3,9,.333,3,6,.500,0,0,,1,0,1,0,1,0,1,4,9,3.0,+1,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
49,28,2021-04-02,21-287,GSW,@,TOR,L (-53),1,29:37,3,15,.200,3,9,.333,1,2,.500,0,2,2,1,1,0,3,1,10,-0.8,-32,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
50,29,2021-04-04,21-289,GSW,@,ATL,L (-6),0,15:50,3,10,.300,0,5,.000,0,0,,0,1,1,4,0,0,0,3,6,2.1,-7,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
51,30,2021-04-06,21-291,GSW,,MIL,W (+1),0,16:34,4,9,.444,1,4,.250,1,1,1.000,0,1,1,6,0,0,0,2,10,9.0,+3,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
52,31,2021-04-09,21-294,GSW,,WAS,L (-3),0,14:47,0,4,.000,0,3,.000,0,0,,0,1,1,2,0,0,2,4,0,-4.7,+7,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
53,32,2021-04-10,21-295,GSW,,HOU,W (+16),0,25:27,8,11,.727,3,5,.600,2,2,1.000,0,1,1,4,3,0,2,2,21,19.8,+13,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
54,33,2021-04-12,21-297,GSW,,DEN,W (+9),0,17:28,2,9,.222,0,5,.000,0,0,,0,1,1,1,0,1,1,1,4,-1.2,-3,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
55,34,2021-04-14,21-299,GSW,@,OKC,W (+38),0,24:59,5,13,.385,3,7,.429,4,4,1.000,0,1,1,4,0,0,5,2,17,7.2,+14,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
56,35,2021-04-15,21-300,GSW,@,CLE,W (+18),0,23:18,5,12,.417,2,8,.250,2,3,.667,0,0,0,4,3,0,0,3,14,11.8,+21,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
57,36,2021-04-17,21-302,GSW,@,BOS,L (-5),0,21:39,4,10,.400,1,6,.167,3,3,1.000,1,1,2,2,0,0,1,4,12,6.4,+3,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
58,37,2021-04-19,21-304,GSW,@,PHI,W (+11),0,17:21,1,7,.143,1,4,.250,3,4,.750,0,1,1,0,0,2,0,1,6,2.4,+9,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
59,38,2021-04-21,21-306,GSW,@,WAS,L (-4),0,25:01,7,16,.438,6,10,.600,2,3,.667,1,2,3,0,2,0,1,4,22,13.9,+6,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
60,39,2021-04-23,21-308,GSW,,DEN,W (+21),0,25:12,5,12,.417,2,6,.333,3,3,1.000,0,1,1,3,2,0,0,2,15,12.2,+3,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
61,40,2021-04-25,21-310,GSW,,SAC,W (+4),0,20:29,1,5,.200,1,3,.333,1,2,.500,1,4,5,1,1,1,1,2,4,3.0,-7,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
62,41,2021-04-27,21-312,GSW,,DAL,L (-30),0,22:03,3,14,.214,2,7,.286,2,2,1.000,1,4,5,3,0,0,2,0,10,3.4,-7,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
63,42,2021-04-29,21-314,GSW,@,MIN,L (-12),0,15:36,2,6,.333,1,3,.333,0,0,,0,1,1,1,0,0,1,0,5,1.6,-18,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
64,43,2021-05-01,21-316,GSW,@,HOU,W (+26),0,25:01,5,12,.417,2,8,.250,5,6,.833,0,3,3,6,2,0,1,1,17,15.9,+4,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
65,44,2021-05-03,21-318,GSW,@,NOP,W (+15),0,17:24,4,10,.400,2,6,.333,1,2,.500,0,1,1,1,0,0,0,1,11,5.8,-2,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
66,45,2021-05-04,21-319,GSW,@,NOP,L (-5),0,13:03,3,9,.333,2,7,.286,1,2,.500,1,1,2,2,0,1,1,3,9,4.4,0,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
67,46,2021-05-06,21-321,GSW,,OKC,W (+21),0,26:20,4,11,.364,0,6,.000,6,7,.857,1,3,4,3,0,0,1,3,14,9.0,+17,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
68,47,2021-05-08,21-323,GSW,,OKC,W (+39),0,33:47,6,10,.600,4,8,.500,0,0,,0,2,2,1,0,0,3,1,16,9.3,+12,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
69,48,2021-05-10,21-325,GSW,,UTA,W (+3),0,18:43,6,11,.545,4,9,.444,4,4,1.000,1,0,1,0,0,0,0,4,20,13.8,+1,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
70,49,2021-05-11,21-326,GSW,,PHO,W (+6),0,20:23,6,10,.600,3,7,.429,5,5,1.000,1,3,4,0,0,0,0,1,20,16.6,+10,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
71,50,2021-05-14,21-329,GSW,,NOP,W (+3),1,33:10,12,22,.545,4,9,.444,10,11,.909,0,4,4,6,0,1,2,2,38,30.3,+3,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
72,51,2021-05-16,21-331,GSW,,MEM,W (+12),0,24:54,5,9,.556,3,7,.429,2,2,1.000,2,1,3,1,2,0,3,1,15,11.7,+11,2021,poolejo01,https://www.basketball-reference.com/players/p/poolejo01/gamelog/2021
