Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-24,35-175,HOU,,MIL,L (-6),0,10:24,0,1,.000,0,1,.000,0,0,,1,4,5,0,0,0,0,0,0,1.2,-3,2020,sefolth01,https://www.basketball-reference.com/players/s/sefolth01/gamelog/2020
2,2,2019-10-26,35-177,HOU,,NOP,W (+3),0,13:53,0,2,.000,0,1,.000,0,0,,2,4,6,3,1,0,1,1,0,2.9,-1,2020,sefolth01,https://www.basketball-reference.com/players/s/sefolth01/gamelog/2020
3,3,2019-10-28,35-179,HOU,,OKC,W (+4),0,10:26,0,3,.000,0,2,.000,0,0,,0,2,2,1,1,0,0,0,0,0.2,-10,2020,sefolth01,https://www.basketball-reference.com/players/s/sefolth01/gamelog/2020
4,4,2019-10-30,35-181,HOU,@,WAS,W (+1),0,10:24,1,3,.333,1,3,.333,0,0,,3,0,3,1,0,1,2,2,3,2.0,-6,2020,sefolth01,https://www.basketball-reference.com/players/s/sefolth01/gamelog/2020
5,,2019-11-01,35-183,HOU,@,BRK,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,sefolth01,https://www.basketball-reference.com/players/s/sefolth01/gamelog/2020
6,5,2019-11-03,35-185,HOU,@,MIA,L (-29),0,18:14,2,4,.500,1,3,.333,0,0,,0,2,2,1,0,1,1,2,5,3.2,+16,2020,sefolth01,https://www.basketball-reference.com/players/s/sefolth01/gamelog/2020
7,6,2019-11-04,35-186,HOU,@,MEM,W (+7),0,6:51,1,2,.500,1,1,1.000,0,0,,2,2,4,2,0,1,0,1,3,5.7,+6,2020,sefolth01,https://www.basketball-reference.com/players/s/sefolth01/gamelog/2020
8,7,2019-11-06,35-188,HOU,,GSW,W (+17),0,9:16,1,3,.333,0,0,,0,0,,0,1,1,2,0,0,0,1,2,1.6,-16,2020,sefolth01,https://www.basketball-reference.com/players/s/sefolth01/gamelog/2020
9,,2019-11-09,35-191,HOU,@,CHI,W (+23),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,sefolth01,https://www.basketball-reference.com/players/s/sefolth01/gamelog/2020
10,8,2019-11-11,35-193,HOU,@,NOP,W (+6),0,6:10,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,2.6,+7,2020,sefolth01,https://www.basketball-reference.com/players/s/sefolth01/gamelog/2020
