Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-22,32-122,LAL,@,LAC,L (-10),1,32:20,10,14,.714,7,9,.778,1,1,1.000,1,6,7,0,2,1,0,3,28,26.2,+7,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
2,2,2019-10-25,32-125,LAL,,UTA,W (+9),1,28:20,3,8,.375,2,5,.400,1,2,.500,2,2,4,1,3,1,1,4,9,8.0,+7,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
3,3,2019-10-27,32-127,LAL,,CHO,W (+19),1,25:52,2,10,.200,1,5,.200,0,0,,0,4,4,2,0,0,0,2,5,0.6,+6,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
4,4,2019-10-29,32-129,LAL,,MEM,W (+29),1,19:25,3,6,.500,2,5,.400,0,0,,0,0,0,1,1,0,1,3,8,4.5,+3,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
5,5,2019-11-01,32-132,LAL,@,DAL,W (+9),1,34:24,5,9,.556,3,6,.500,1,2,.500,0,1,1,1,1,0,1,2,14,9.5,+8,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
6,6,2019-11-03,32-134,LAL,@,SAS,W (+7),1,23:23,1,4,.250,1,3,.333,0,0,,0,1,1,0,1,0,2,5,3,-2.1,+10,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
7,7,2019-11-05,32-136,LAL,@,CHI,W (+6),1,25:59,3,5,.600,1,3,.333,0,0,,0,4,4,2,2,1,1,2,7,8.2,+4,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
8,8,2019-11-08,32-139,LAL,,MIA,W (+15),1,23:18,1,7,.143,1,5,.200,1,1,1.000,1,2,3,2,2,0,2,4,4,0.6,+17,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
9,9,2019-11-10,32-141,LAL,,TOR,L (-9),1,27:14,0,5,.000,0,4,.000,0,0,,1,2,3,2,1,1,1,1,0,-0.5,-3,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
10,10,2019-11-12,32-143,LAL,@,PHO,W (+8),1,25:26,5,8,.625,3,5,.600,1,2,.500,0,1,1,3,0,0,1,5,14,9.4,+7,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
11,11,2019-11-13,32-144,LAL,,GSW,W (+26),1,18:38,2,2,1.000,2,2,1.000,0,0,,0,1,1,0,1,0,2,1,6,4.3,+7,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
12,12,2019-11-15,32-146,LAL,,SAC,W (+2),1,26:10,2,8,.250,1,6,.167,1,1,1.000,2,2,4,0,2,1,1,1,6,4.5,+8,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
13,13,2019-11-17,32-148,LAL,,ATL,W (+21),1,23:46,4,7,.571,3,6,.500,0,0,,2,4,6,2,3,2,1,0,11,15.1,+11,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
14,14,2019-11-19,32-150,LAL,,OKC,W (+5),1,20:48,2,3,.667,1,2,.500,0,0,,1,4,5,3,0,0,1,4,5,5.1,+2,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
15,15,2019-11-22,32-153,LAL,@,OKC,W (+3),1,28:45,5,8,.625,4,6,.667,0,0,,1,3,4,0,0,1,0,3,14,11.5,+10,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
16,16,2019-11-23,32-154,LAL,@,MEM,W (+1),1,26:40,2,7,.286,2,7,.286,2,2,1.000,0,5,5,2,3,0,3,1,8,6.4,+2,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
17,17,2019-11-25,32-156,LAL,@,SAS,W (+10),1,28:23,3,7,.429,0,4,.000,0,0,,2,7,9,1,0,1,0,1,6,6.8,+6,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
18,18,2019-11-27,32-158,LAL,@,NOP,W (+4),1,20:31,2,5,.400,0,2,.000,0,0,,0,0,0,0,1,1,2,3,4,-0.2,-8,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
19,19,2019-11-29,32-160,LAL,,WAS,W (+22),1,20:55,4,6,.667,3,5,.600,0,0,,0,2,2,0,1,0,0,3,11,8.8,+18,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
20,20,2019-12-01,32-162,LAL,,DAL,L (-14),1,27:53,3,10,.300,2,8,.250,0,0,,0,2,2,1,1,0,1,0,8,3.5,-4,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
21,21,2019-12-03,32-164,LAL,@,DEN,W (+9),1,30:59,2,12,.167,1,7,.143,0,0,,1,6,7,3,3,0,0,2,5,4.2,+2,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
22,22,2019-12-04,32-165,LAL,@,UTA,W (+25),1,20:47,2,4,.500,2,4,.500,0,0,,1,4,5,0,0,1,1,2,6,4.8,+2,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
23,23,2019-12-06,32-167,LAL,@,POR,W (+23),1,21:08,1,3,.333,1,3,.333,0,0,,0,5,5,2,1,1,1,2,3,4.1,+5,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
24,24,2019-12-08,32-169,LAL,,MIN,W (+17),1,26:17,4,6,.667,4,6,.667,0,0,,0,8,8,1,2,0,0,4,12,12.9,+27,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
25,25,2019-12-11,32-172,LAL,@,ORL,W (+9),1,29:22,4,11,.364,0,6,.000,0,0,,2,3,5,3,1,1,0,1,8,7.6,-8,2020,greenda02,https://www.basketball-reference.com/players/g/greenda02/gamelog/2020
