Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2003-10-28,25-131,DAL,@,LAL,L (-16),1,33:11,5,17,.294,0,6,.000,9,12,.750,3,10,13,1,1,1,3,2,19,11.6,-20,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
2,2,2003-10-29,25-132,DAL,@,GSW,W (+8),1,45:25,11,18,.611,0,1,.000,7,7,1.000,2,13,15,1,3,4,3,3,29,28.4,+19,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
3,3,2003-11-01,25-135,DAL,,UTA,W (+25),1,25:17,6,8,.750,2,3,.667,1,1,1.000,0,3,3,3,1,2,1,4,15,14.6,+16,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
4,4,2003-11-03,25-137,DAL,,MIA,W (+10),1,43:01,12,22,.545,2,6,.333,4,4,1.000,1,5,6,3,0,0,2,3,30,20.5,+17,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
5,5,2003-11-05,25-139,DAL,@,WAS,L (-10),1,33:07,1,9,.111,0,1,.000,7,8,.875,0,2,2,3,2,0,2,2,9,4.6,-16,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
6,6,2003-11-06,25-140,DAL,@,TOR,L (-6),1,42:25,11,20,.550,1,2,.500,4,4,1.000,0,5,5,3,0,3,4,4,27,17.5,-6,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
7,7,2003-11-08,25-142,DAL,@,SAS,W (+3),1,40:19,7,18,.389,1,7,.143,0,2,.000,0,11,11,3,3,0,5,2,15,7.0,+3,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
8,8,2003-11-11,25-145,DAL,,NOH,W (+28),1,29:54,8,12,.667,1,3,.333,1,1,1.000,0,5,5,4,1,1,2,2,18,16.0,+27,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
9,9,2003-11-13,25-147,DAL,,HOU,W (+11),1,37:59,9,16,.563,0,4,.000,5,6,.833,0,5,5,1,0,1,1,1,23,16.5,+13,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
10,10,2003-11-15,25-149,DAL,@,MEM,L (-7),1,39:29,7,14,.500,0,1,.000,5,8,.625,3,8,11,2,2,1,6,6,19,11.0,-6,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
11,11,2003-11-17,25-151,DAL,,POR,W (+7),1,38:16,8,19,.421,2,5,.400,2,2,1.000,2,6,8,5,0,3,1,4,20,16.1,+9,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
12,12,2003-11-20,25-154,DAL,,SAS,W (+3),1,43:02,7,19,.368,2,5,.400,10,10,1.000,2,4,6,1,1,0,1,2,26,18.0,+3,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
13,13,2003-11-22,25-156,DAL,,DEN,W (+14),1,38:52,5,15,.333,1,2,.500,8,9,.889,2,9,11,1,0,2,0,3,19,15.1,+18,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
14,14,2003-11-25,25-159,DAL,,CHI,W (+26),1,28:18,4,9,.444,1,2,.500,10,10,1.000,1,8,9,1,0,1,0,2,19,18.0,+13,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
15,15,2003-11-26,25-160,DAL,@,PHO,L (-31),1,7:15,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,2,1,0,-3.8,-2,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
16,,2003-11-28,25-162,DAL,@,DEN,L (-10),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
17,,2003-11-29,25-163,DAL,,MIN,W (+4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
18,,2003-12-02,25-166,DAL,,WAS,W (+25),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
19,,2003-12-04,25-168,DAL,,LAL,L (-11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
20,,2003-12-06,25-170,DAL,,ORL,W (+13),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
21,16,2003-12-10,25-174,DAL,@,LAC,L (-1),1,27:20,4,12,.333,1,2,.500,0,0,,0,3,3,2,0,0,0,5,9,2.5,+8,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
22,17,2003-12-12,25-176,DAL,@,LAL,W (+17),1,46:08,10,22,.455,1,2,.500,6,6,1.000,1,11,12,5,1,1,1,3,27,22.6,+16,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
23,18,2003-12-15,25-179,DAL,,TOR,W (+17),1,32:38,4,13,.308,1,4,.250,5,6,.833,0,5,5,2,2,1,1,2,14,9.9,+18,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
24,19,2003-12-17,25-181,DAL,@,BOS,L (-2),1,41:25,11,28,.393,3,7,.429,5,8,.625,5,8,13,1,2,1,1,5,30,19.9,+10,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
25,20,2003-12-18,25-182,DAL,@,MIN,L (-5),1,40:30,4,13,.308,1,6,.167,6,7,.857,1,6,7,1,0,0,2,4,15,6.7,-5,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
26,21,2003-12-20,25-184,DAL,,LAC,L (-10),1,45:26,6,23,.261,0,7,.000,11,14,.786,4,5,9,1,1,1,5,1,23,9.4,-10,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
27,22,2003-12-23,25-187,DAL,@,POR,L (-9),1,42:08,3,12,.250,0,3,.000,0,0,,1,8,9,2,0,1,5,3,6,-2.2,-5,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
28,23,2003-12-25,25-189,DAL,@,SAC,W (+8),1,47:33,9,22,.409,3,6,.500,10,10,1.000,1,13,14,5,3,3,0,4,31,30.8,+9,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
29,24,2003-12-27,25-191,DAL,,MEM,W (+6),1,42:07,6,10,.600,2,3,.667,4,4,1.000,2,15,17,4,0,0,4,3,18,16.9,+11,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
30,25,2003-12-30,25-194,DAL,,MIL,W (+9),1,36:14,8,19,.421,2,5,.400,2,3,.667,1,10,11,1,0,0,1,2,20,12.1,+8,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
31,26,2004-01-02,25-197,DAL,@,MIL,L (-8),1,43:42,9,17,.529,2,5,.400,3,3,1.000,2,12,14,5,1,2,2,4,23,22.0,+1,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
32,27,2004-01-03,25-198,DAL,,MIN,W (+7),1,41:45,10,15,.667,3,3,1.000,8,10,.800,1,8,9,4,1,0,1,3,31,28.4,-4,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
33,28,2004-01-05,25-200,DAL,@,UTA,L (-14),1,37:59,8,15,.533,2,3,.667,6,7,.857,2,7,9,1,1,4,0,2,24,23.5,-20,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
34,29,2004-01-07,25-202,DAL,,GSW,W (+6),1,41:02,8,19,.421,2,6,.333,5,5,1.000,3,8,11,1,1,1,2,4,23,16.2,-2,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
35,30,2004-01-09,25-204,DAL,,IND,L (-12),1,41:32,7,20,.350,1,5,.200,5,6,.833,1,6,7,3,1,3,2,4,20,12.5,-2,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
36,31,2004-01-11,25-206,DAL,@,DET,L (-13),1,33:02,6,11,.545,1,3,.333,1,2,.500,2,13,15,3,1,0,1,3,14,14.5,-7,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
37,32,2004-01-12,25-207,DAL,@,NYK,W (+6),1,47:03,12,24,.500,3,9,.333,4,4,1.000,1,9,10,1,1,0,2,2,31,21.3,+12,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
38,33,2004-01-14,25-209,DAL,,PHI,W (+3),1,48:30,9,22,.409,1,3,.333,6,10,.600,1,13,14,4,1,3,2,2,25,19.3,+1,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
39,34,2004-01-16,25-211,DAL,@,DEN,W (+3),1,38:45,8,18,.444,1,4,.250,5,5,1.000,0,7,7,2,1,2,4,3,22,13.3,+9,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
40,35,2004-01-17,25-212,DAL,@,POR,W (+4),1,40:32,10,18,.556,2,5,.400,10,10,1.000,1,6,7,6,1,1,2,2,32,29.0,+7,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
41,36,2004-01-20,25-215,DAL,,NJN,W (+13),1,38:21,7,14,.500,3,6,.500,2,2,1.000,0,10,10,6,0,1,1,4,19,17.3,+9,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
42,37,2004-01-22,25-217,DAL,,LAL,W (+19),1,42:16,6,16,.375,1,2,.500,3,3,1.000,0,9,9,6,0,2,2,2,16,12.7,+21,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
43,38,2004-01-23,25-218,DAL,@,CHI,W (+13),1,39:53,10,23,.435,2,8,.250,4,4,1.000,2,9,11,5,1,2,0,1,26,23.5,+13,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
44,39,2004-01-25,25-220,DAL,,SAC,W (+9),1,38:09,8,17,.471,1,4,.250,3,3,1.000,1,11,12,3,2,2,1,1,20,19.4,+4,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
45,40,2004-01-27,25-222,DAL,@,SEA,W (+2),1,40:58,16,22,.727,8,11,.727,3,5,.600,1,3,4,2,2,1,5,1,43,33.5,-1,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
46,41,2004-01-28,25-223,DAL,@,UTA,L (-3),1,40:09,6,14,.429,1,6,.167,4,4,1.000,0,2,2,4,0,0,1,4,17,10.4,-4,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
47,42,2004-01-31,25-226,DAL,,DEN,L (-5),1,42:18,8,23,.348,0,6,.000,0,0,,0,6,6,4,1,2,3,2,16,6.3,-7,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
48,43,2004-02-03,25-229,DAL,,GSW,W (+14),1,34:45,4,14,.286,1,5,.200,0,0,,0,4,4,2,3,2,0,0,9,7.8,+17,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
49,44,2004-02-04,25-230,DAL,@,NOH,W (+9),1,37:45,10,19,.526,1,2,.500,7,7,1.000,1,10,11,4,3,1,2,3,28,25.7,+9,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
50,45,2004-02-07,25-233,DAL,,DET,W (+3),1,42:23,15,24,.625,3,4,.750,7,8,.875,0,8,8,3,4,1,2,3,40,34.8,+10,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
51,46,2004-02-09,25-235,DAL,@,ATL,L (-6),1,41:35,10,20,.500,0,4,.000,3,5,.600,1,9,10,2,1,1,3,4,23,14.1,-5,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
52,47,2004-02-10,25-236,DAL,,NYK,W (+15),1,36:47,9,19,.474,2,4,.500,7,9,.778,2,10,12,3,1,1,1,2,27,22.9,+9,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
53,48,2004-02-17,25-243,DAL,@,MEM,L (-17),1,35:31,9,19,.474,0,2,.000,6,6,1.000,2,7,9,0,1,3,1,2,24,19.1,-15,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
54,49,2004-02-18,25-244,DAL,@,CLE,W (+16),1,39:17,5,15,.333,0,3,.000,8,8,1.000,2,8,10,4,2,1,0,1,18,18.4,+15,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
55,50,2004-02-21,25-247,DAL,,HOU,W (+9),1,40:46,9,17,.529,3,4,.750,4,5,.800,3,9,12,3,1,2,2,3,25,22.4,+4,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
56,51,2004-02-24,25-250,DAL,,LAC,W (+25),1,36:40,6,18,.333,0,4,.000,4,4,1.000,2,7,9,5,2,5,2,3,16,15.1,+27,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
57,52,2004-02-26,25-252,DAL,,SAS,W (+24),1,35:12,8,15,.533,3,5,.600,4,4,1.000,0,6,6,5,1,0,0,2,23,21.2,+23,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
58,53,2004-02-28,25-254,DAL,,POR,W (+20),1,37:51,7,16,.438,1,4,.250,6,6,1.000,2,5,7,3,0,3,1,2,21,17.9,+19,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
59,54,2004-03-02,25-257,DAL,,SEA,W (+11),1,42:23,7,19,.368,0,3,.000,5,6,.833,3,9,12,3,0,2,1,2,19,14.6,+11,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
60,55,2004-03-03,25-258,DAL,@,MIN,L (-24),1,27:54,5,13,.385,0,3,.000,5,5,1.000,0,3,3,4,2,0,0,3,15,12.4,-15,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
61,56,2004-03-05,25-260,DAL,@,SAS,L (-13),1,38:49,8,19,.421,1,2,.500,4,4,1.000,1,8,9,1,4,0,2,4,21,15.1,-11,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
62,57,2004-03-07,25-262,DAL,@,HOU,L (-3),1,44:24,7,19,.368,2,4,.500,2,2,1.000,1,0,1,1,9,2,2,2,18,16.5,-3,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
63,58,2004-03-08,25-263,DAL,,PHO,W (+13),1,27:28,11,13,.846,0,0,,4,4,1.000,1,5,6,1,0,0,1,4,26,21.6,+14,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
64,59,2004-03-11,25-266,DAL,@,SAC,L (-18),1,37:50,8,19,.421,1,6,.167,4,4,1.000,1,7,8,4,1,0,2,1,21,15.1,-20,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
65,60,2004-03-13,25-268,DAL,@,PHO,W (+23),1,27:52,3,12,.250,0,3,.000,2,2,1.000,2,10,12,4,0,0,1,3,8,5.8,+23,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
66,61,2004-03-14,25-269,DAL,@,LAC,W (+13),1,44:43,12,23,.522,0,2,.000,10,12,.833,1,14,15,3,2,1,1,1,34,30.2,+13,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
67,62,2004-03-17,25-272,DAL,,ATL,L (-1),1,42:29,11,22,.500,1,3,.333,5,6,.833,1,9,10,1,0,0,1,4,28,18.1,+4,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
68,63,2004-03-19,25-274,DAL,,BOS,W (+16),1,40:24,9,19,.474,0,0,,6,6,1.000,2,5,7,5,1,0,3,4,24,17.1,+23,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
69,64,2004-03-21,25-276,DAL,@,NJN,W (+3),1,34:49,7,19,.368,1,2,.500,6,6,1.000,0,5,5,1,0,2,2,2,21,11.3,-2,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
70,65,2004-03-22,25-277,DAL,@,PHI,L (-9),1,44:08,11,20,.550,3,4,.750,5,7,.714,0,6,6,2,2,0,0,4,30,23.2,-8,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
71,66,2004-03-24,25-279,DAL,@,IND,L (-4),1,38:59,8,19,.421,1,4,.250,5,6,.833,0,7,7,2,2,5,2,6,22,16.1,-8,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
72,67,2004-03-26,25-281,DAL,@,MIA,L (-1),1,43:02,9,20,.450,0,2,.000,7,8,.875,1,11,12,1,0,1,4,6,25,13.2,+7,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
73,68,2004-03-28,25-283,DAL,@,ORL,W (+30),1,34:14,11,19,.579,3,3,1.000,0,1,.000,1,8,9,2,3,2,0,2,25,23.8,+33,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
74,69,2004-03-30,25-285,DAL,,CLE,W (+17),1,42:51,14,23,.609,1,2,.500,6,6,1.000,2,16,18,4,1,1,1,3,35,33.0,+19,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
75,70,2004-04-01,25-287,DAL,,SAC,W (+10),1,40:07,8,18,.444,1,2,.500,10,12,.833,1,9,10,4,2,1,3,5,27,20.7,+1,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
76,71,2004-04-03,25-289,DAL,,PHO,W (+21),1,33:55,14,22,.636,3,7,.429,3,3,1.000,0,7,7,4,1,1,1,2,34,29.0,+13,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
77,72,2004-04-06,25-292,DAL,,SEA,W (+10),1,35:10,9,17,.529,1,2,.500,4,4,1.000,2,6,8,2,0,4,2,2,23,19.3,+11,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
78,73,2004-04-08,25-294,DAL,,UTA,W (+23),1,33:56,7,10,.700,2,4,.500,11,11,1.000,1,3,4,3,1,2,0,3,27,27.7,+31,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
79,74,2004-04-10,25-296,DAL,@,SEA,L (-20),1,27:33,3,15,.200,2,4,.500,2,2,1.000,0,6,6,1,0,2,1,1,10,3.2,-31,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
80,75,2004-04-11,25-297,DAL,@,GSW,L (-1),1,45:30,10,15,.667,1,2,.500,8,9,.889,1,13,14,3,2,1,6,3,29,24.3,0,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
81,76,2004-04-13,25-299,DAL,,MEM,W (+7),1,27:00,4,9,.444,0,0,,3,4,.750,2,8,10,0,1,3,0,4,11,11.2,+4,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
82,77,2004-04-14,25-300,DAL,@,HOU,W (+3),1,22:36,3,10,.300,0,3,.000,4,6,.667,1,5,6,1,0,1,1,3,10,4.8,+5,2004,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/2004
