Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2020-12-23,35-317,DEN,,SAC,L (-2),1,36:06,7,13,.538,2,5,.400,0,0,,2,5,7,3,0,0,1,3,16,12.5,-6,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
2,2,2020-12-25,35-319,DEN,,LAC,L (-13),1,21:53,3,5,.600,1,2,.500,1,2,.500,0,1,1,0,0,0,0,4,8,4.0,-10,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
3,3,2020-12-28,35-322,DEN,,HOU,W (+13),1,24:44,7,8,.875,3,4,.750,2,3,.667,0,3,3,1,0,0,3,1,19,14.0,+1,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
4,4,2020-12-29,35-323,DEN,@,SAC,L (-10),1,27:56,1,4,.250,0,0,,3,5,.600,0,4,4,2,0,0,1,0,5,3.4,+5,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
5,5,2021-01-01,35-326,DEN,,PHO,L (-3),1,18:40,5,9,.556,1,3,.333,4,5,.800,1,4,5,1,1,0,1,4,15,11.3,0,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
6,6,2021-01-03,35-328,DEN,@,MIN,W (+15),1,25:13,4,7,.571,4,7,.571,0,2,.000,1,3,4,1,0,0,1,3,12,8.0,-6,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
7,7,2021-01-05,35-330,DEN,,MIN,W (+7),1,15:30,5,9,.556,0,2,.000,0,0,,2,1,3,1,0,0,2,4,10,4.5,-2,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
8,8,2021-01-07,35-332,DEN,,DAL,L (-7),1,28:38,1,6,.167,0,2,.000,3,3,1.000,2,3,5,4,2,0,2,1,5,5.9,+5,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
9,9,2021-01-09,35-334,DEN,@,PHI,W (+12),1,21:39,3,8,.375,1,3,.333,2,2,1.000,1,4,5,0,2,1,1,0,9,8.2,+12,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
10,10,2021-01-10,35-335,DEN,@,NYK,W (+25),1,21:25,3,9,.333,2,6,.333,2,3,.667,0,5,5,0,2,0,1,2,10,6.2,0,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
11,11,2021-01-12,35-337,DEN,@,BRK,L (-6),1,21:52,3,3,1.000,2,2,1.000,2,2,1.000,1,3,4,1,0,1,2,1,10,9.7,0,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
12,12,2021-01-14,35-339,DEN,,GSW,W (+10),1,23:11,4,7,.571,2,4,.500,2,2,1.000,3,1,4,4,3,1,1,1,12,16.2,0,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
13,13,2021-01-17,35-342,DEN,,UTA,L (-4),1,20:58,2,6,.333,0,1,.000,0,0,,4,5,9,1,0,1,1,2,4,4.5,+2,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
14,14,2021-01-19,35-344,DEN,,OKC,W (+18),1,26:22,5,10,.500,2,5,.400,1,2,.500,4,8,12,3,2,1,1,3,13,15.4,+21,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
15,15,2021-01-22,35-347,DEN,@,PHO,W (+4),1,19:52,4,7,.571,0,1,.000,4,4,1.000,3,2,5,0,1,0,0,0,12,12.4,-10,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
16,16,2021-01-23,35-348,DEN,@,PHO,W (+8),1,19:54,1,6,.167,0,1,.000,0,0,,2,6,8,1,0,0,0,3,2,0.9,-9,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
17,17,2021-01-25,35-350,DEN,@,DAL,W (+4),1,18:41,1,3,.333,0,1,.000,0,2,.000,1,2,3,3,0,0,0,2,2,2.1,-6,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
18,18,2021-01-27,35-352,DEN,@,MIA,W (+27),1,24:25,5,9,.556,1,4,.250,0,0,,3,4,7,3,1,0,2,2,11,10.3,+9,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
19,19,2021-01-29,35-354,DEN,@,SAS,L (-10),1,22:47,1,2,.500,0,1,.000,6,8,.750,1,4,5,2,0,1,0,1,8,9.8,+7,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
20,20,2021-01-31,35-356,DEN,,UTA,W (+11),1,21:49,4,6,.667,2,2,1.000,0,0,,1,2,3,0,1,0,0,2,10,8.9,+5,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
21,21,2021-02-04,35-360,DEN,@,LAL,L (-21),1,31:38,3,13,.231,0,5,.000,0,0,,4,6,10,1,2,0,1,5,6,2.4,-8,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
22,22,2021-02-06,35-362,DEN,@,SAC,L (-5),1,22:11,5,8,.625,3,4,.750,1,3,.333,2,3,5,1,0,1,1,2,14,11.5,-2,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
23,23,2021-02-08,35-364,DEN,,MIL,L (-13),1,29:53,5,8,.625,2,5,.400,2,3,.667,2,3,5,1,1,3,2,4,14,12.5,-12,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
24,24,2021-02-10,36-000,DEN,,CLE,W (+38),1,26:40,7,8,.875,2,3,.667,6,7,.857,0,4,4,3,2,1,1,2,22,23.0,+22,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
25,25,2021-02-12,36-002,DEN,,OKC,W (+2),1,33:04,6,10,.600,0,2,.000,0,0,,1,2,3,4,1,3,1,2,12,12.8,+13,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
26,26,2021-02-14,36-004,DEN,,LAL,W (+17),1,15:43,4,5,.800,2,3,.667,0,1,.000,0,5,5,2,1,0,0,0,10,11.6,+5,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
27,,2021-02-16,36-006,DEN,@,BOS,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
28,,2021-02-17,36-007,DEN,@,WAS,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,millspa01,https://www.basketball-reference.com/players/m/millspa01/gamelog/2021
