Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2015-10-28,23-026,BRK,,CHI,L (-15),1,23:13,3,8,.375,0,2,.000,0,0,,0,0,0,8,3,1,2,3,6,7.7,-3,2016,larkish01,https://www.basketball-reference.com/players/l/larkish01/gamelog/2016
2,2,2015-10-30,23-028,BRK,@,SAS,L (-27),0,16:26,3,5,.600,0,0,,1,2,.500,0,0,0,4,0,1,1,0,7,6.8,+1,2016,larkish01,https://www.basketball-reference.com/players/l/larkish01/gamelog/2016
3,3,2015-10-31,23-029,BRK,@,MEM,L (-10),0,12:38,1,5,.200,0,0,,0,0,,0,1,1,2,0,0,0,1,2,0.2,-4,2016,larkish01,https://www.basketball-reference.com/players/l/larkish01/gamelog/2016
4,4,2015-11-02,23-031,BRK,,MIL,L (-7),0,18:07,5,5,1.000,0,0,,0,1,.000,0,3,3,1,1,0,2,1,10,8.3,-10,2016,larkish01,https://www.basketball-reference.com/players/l/larkish01/gamelog/2016
5,5,2015-11-04,23-033,BRK,@,ATL,L (-14),0,16:31,1,3,.333,0,0,,2,2,1.000,0,2,2,2,0,0,4,2,4,-0.5,-8,2016,larkish01,https://www.basketball-reference.com/players/l/larkish01/gamelog/2016
6,6,2015-11-06,23-035,BRK,,LAL,L (-6),0,10:25,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,4,0,-3.0,-13,2016,larkish01,https://www.basketball-reference.com/players/l/larkish01/gamelog/2016
7,7,2015-11-07,23-036,BRK,@,MIL,L (-8),0,18:17,2,7,.286,0,1,.000,2,2,1.000,0,3,3,2,3,0,1,3,6,5.0,+7,2016,larkish01,https://www.basketball-reference.com/players/l/larkish01/gamelog/2016
8,8,2015-11-11,23-040,BRK,@,HOU,W (+8),0,22:37,6,9,.667,3,3,1.000,0,0,,1,7,8,2,0,0,1,0,15,14.3,+24,2016,larkish01,https://www.basketball-reference.com/players/l/larkish01/gamelog/2016
9,9,2015-11-13,23-042,BRK,@,SAC,L (-2),0,14:57,3,4,.750,2,2,1.000,0,0,,0,2,2,3,2,0,2,2,8,8.3,-3,2016,larkish01,https://www.basketball-reference.com/players/l/larkish01/gamelog/2016
10,10,2015-11-14,23-043,BRK,@,GSW,L (-8),0,10:59,1,4,.250,0,2,.000,0,0,,0,2,2,2,1,0,2,0,2,0.6,-4,2016,larkish01,https://www.basketball-reference.com/players/l/larkish01/gamelog/2016
11,11,2015-11-17,23-046,BRK,,ATL,W (+2),0,13:34,5,11,.455,4,6,.667,0,0,,0,2,2,1,2,0,1,1,14,10.2,-3,2016,larkish01,https://www.basketball-reference.com/players/l/larkish01/gamelog/2016
12,12,2015-11-18,23-047,BRK,@,CHO,L (-5),0,19:53,3,5,.600,0,0,,0,0,,1,1,2,6,1,0,1,3,6,7.7,-8,2016,larkish01,https://www.basketball-reference.com/players/l/larkish01/gamelog/2016
13,13,2015-11-20,23-049,BRK,@,BOS,L (-25),0,29:41,4,8,.500,1,3,.333,1,2,.500,1,2,3,3,4,0,2,0,10,11.0,-6,2016,larkish01,https://www.basketball-reference.com/players/l/larkish01/gamelog/2016
14,14,2015-11-22,23-051,BRK,,BOS,W (+10),0,17:50,3,6,.500,1,2,.500,0,0,,0,0,0,5,1,0,2,1,7,6.1,+5,2016,larkish01,https://www.basketball-reference.com/players/l/larkish01/gamelog/2016
15,15,2015-11-25,23-054,BRK,@,OKC,L (-11),0,25:29,4,7,.571,2,2,1.000,0,1,.000,0,4,4,6,1,0,2,2,10,9.9,-11,2016,larkish01,https://www.basketball-reference.com/players/l/larkish01/gamelog/2016
16,16,2015-11-28,23-057,BRK,@,CLE,L (-2),0,12:36,2,5,.400,0,0,,3,4,.750,0,1,1,3,0,0,2,0,7,4.3,-8,2016,larkish01,https://www.basketball-reference.com/players/l/larkish01/gamelog/2016
17,17,2015-11-29,23-058,BRK,,DET,W (+4),0,21:23,4,10,.400,1,3,.333,0,0,,0,2,2,2,1,0,1,1,9,5.2,+4,2016,larkish01,https://www.basketball-reference.com/players/l/larkish01/gamelog/2016
18,18,2015-12-01,23-060,BRK,,PHO,W (+3),0,30:17,5,9,.556,1,2,.500,0,0,,0,5,5,8,2,1,0,3,11,15.3,+13,2016,larkish01,https://www.basketball-reference.com/players/l/larkish01/gamelog/2016
