Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
32,15,2015-12-31,27-079,NOP,,LAC,L (-6),0,34:29,6,13,.462,2,4,.500,1,2,.500,1,4,5,4,1,0,2,1,15,11.2,-6,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
33,16,2016-01-02,27-081,NOP,@,DAL,W (+7),1,38:00,7,16,.438,0,2,.000,2,2,1.000,1,11,12,4,4,0,5,4,16,11.8,+7,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
34,17,2016-01-06,27-085,NOP,,DAL,L (-9),0,27:35,1,6,.167,0,1,.000,2,2,1.000,1,3,4,0,0,0,0,3,4,0.6,-18,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
35,18,2016-01-08,27-087,NOP,,IND,L (-5),0,22:47,1,9,.111,0,2,.000,2,2,1.000,0,1,1,1,2,0,0,3,4,-0.1,-6,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
36,19,2016-01-10,27-089,NOP,@,LAC,L (-3),0,14:47,3,8,.375,0,2,.000,0,0,,0,2,2,1,0,0,1,2,6,1.1,-1,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
37,20,2016-01-12,27-091,NOP,@,LAL,L (-4),0,32:24,5,13,.385,1,1,1.000,0,0,,0,3,3,4,0,1,0,3,11,7.1,-9,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
38,21,2016-01-13,27-092,NOP,@,SAC,W (+12),0,26:29,8,16,.500,2,4,.500,0,0,,0,2,2,2,0,0,1,0,18,11.0,-14,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
39,22,2016-01-15,27-094,NOP,,CHO,W (+2),0,16:20,1,4,.250,0,1,.000,0,0,,0,1,1,4,1,1,0,0,2,4.4,+5,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
40,23,2016-01-18,27-097,NOP,@,MEM,L (-2),1,30:24,5,12,.417,0,3,.000,0,0,,0,1,1,4,2,0,4,0,10,4.7,-2,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
41,24,2016-01-19,27-098,NOP,,MIN,W (+15),0,23:02,3,6,.500,0,1,.000,1,1,1.000,0,5,5,2,0,0,2,2,7,4.1,+20,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
42,25,2016-01-21,27-100,NOP,,DET,W (+16),1,31:07,5,11,.455,0,0,,2,2,1.000,0,8,8,7,0,0,1,4,12,11.0,+7,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
43,26,2016-01-23,27-102,NOP,,MIL,W (+17),1,26:56,4,10,.400,3,5,.600,0,0,,0,3,3,3,1,0,1,2,11,7.8,+7,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
44,27,2016-01-25,27-104,NOP,,HOU,L (-1),1,34:30,4,11,.364,2,4,.500,0,2,.000,0,4,4,4,0,0,3,2,10,3.3,-6,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
45,28,2016-01-28,27-107,NOP,,SAC,W (+9),1,37:48,8,19,.421,1,3,.333,0,0,,0,7,7,10,1,0,3,2,17,13.2,+11,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
46,29,2016-01-30,27-109,NOP,,BRK,W (+2),1,30:10,6,14,.429,0,2,.000,0,0,,0,2,2,5,0,0,3,3,12,4.5,-6,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
47,30,2016-02-01,27-111,NOP,,MEM,L (-15),1,37:30,9,15,.600,3,3,1.000,2,2,1.000,1,2,3,6,1,0,1,3,23,20.4,-9,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
48,31,2016-02-03,27-113,NOP,@,SAS,L (-13),1,33:55,7,17,.412,0,1,.000,0,0,,0,4,4,9,1,0,2,3,14,10.2,-8,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
49,32,2016-02-04,27-114,NOP,,LAL,L (-3),1,13:01,1,10,.100,0,1,.000,0,0,,0,0,0,2,2,0,1,3,2,-3.4,-15,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
50,33,2016-02-06,27-116,NOP,@,CLE,L (-15),1,34:25,10,19,.526,2,4,.500,4,4,1.000,0,2,2,5,1,0,5,2,26,16.0,-6,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
51,34,2016-02-08,27-118,NOP,@,MIN,W (+14),1,31:40,4,9,.444,0,1,.000,2,2,1.000,0,3,3,6,0,0,1,3,10,8.2,+8,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
52,35,2016-02-10,27-120,NOP,,UTA,W (+4),1,23:37,4,10,.400,1,1,1.000,2,2,1.000,0,2,2,4,2,0,2,0,11,9.0,-7,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
53,36,2016-02-11,27-121,NOP,@,OKC,L (-26),1,27:21,5,13,.385,1,3,.333,4,4,1.000,0,5,5,6,0,0,1,1,15,12.2,-10,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
54,37,2016-02-19,27-129,NOP,,PHI,W (+7),1,27:24,5,8,.625,0,0,,2,4,.500,0,3,3,4,0,0,3,4,12,6.7,+4,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
55,38,2016-02-21,27-131,NOP,@,DET,W (+5),1,21:03,2,5,.400,0,1,.000,1,2,.500,0,2,2,3,0,0,3,3,5,0.4,+2,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
56,39,2016-02-23,27-133,NOP,@,WAS,L (-20),1,17:53,3,10,.300,1,2,.500,2,2,1.000,0,2,2,2,1,0,0,1,9,5.8,-14,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
57,40,2016-02-25,27-135,NOP,,OKC,W (+4),1,34:46,7,14,.500,2,3,.667,5,5,1.000,1,5,6,8,0,0,4,4,21,16.2,-3,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
58,41,2016-02-27,27-137,NOP,,MIN,L (-2),1,29:07,3,9,.333,1,2,.500,0,0,,1,4,5,7,1,0,1,3,7,7.5,-1,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
59,42,2016-03-02,27-141,NOP,@,HOU,L (-5),1,35:59,9,16,.563,2,3,.667,1,1,1.000,0,4,4,8,1,1,1,0,21,20.9,-2,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
60,43,2016-03-03,27-142,NOP,,SAS,L (-8),1,29:19,5,13,.385,1,3,.333,0,0,,0,3,3,5,2,0,3,2,11,6.5,+15,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
61,44,2016-03-05,27-144,NOP,,UTA,L (-12),1,28:33,3,9,.333,0,0,,0,0,,0,2,2,5,1,0,1,4,6,3.4,-3,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
62,45,2016-03-07,27-146,NOP,,SAC,W (+3),1,39:44,8,19,.421,1,4,.250,6,7,.857,1,6,7,6,3,0,1,3,23,20.0,+5,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
63,,2016-03-09,27-148,NOP,@,CHO,L (-9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
64,,2016-03-11,27-150,NOP,@,MEM,L (-7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
65,,2016-03-12,27-151,NOP,@,MIL,L (-11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
66,,2016-03-14,27-153,NOP,@,GSW,L (-18),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
67,,2016-03-16,27-155,NOP,@,SAC,W (+15),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
68,,2016-03-18,27-157,NOP,,POR,L (-5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
69,,2016-03-20,27-159,NOP,,LAC,W (+4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
70,,2016-03-22,27-161,NOP,,MIA,L (-14),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
71,,2016-03-24,27-163,NOP,@,IND,L (-8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
72,,2016-03-26,27-165,NOP,,TOR,L (-24),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
73,,2016-03-28,27-167,NOP,,NYK,W (+8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
74,,2016-03-30,27-169,NOP,@,SAS,L (-8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
75,,2016-03-31,27-170,NOP,,DEN,W (+6),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
76,,2016-04-03,27-173,NOP,@,BRK,W (+19),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
77,,2016-04-05,27-175,NOP,@,PHI,L (-14),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
78,,2016-04-06,27-176,NOP,@,BOS,L (-7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
79,,2016-04-08,27-178,NOP,,LAL,W (+8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
80,,2016-04-09,27-179,NOP,,PHO,L (-21),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
81,,2016-04-11,27-181,NOP,,CHI,L (-5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,coleno01,https://www.basketball-reference.com/players/c/coleno01/gamelog/2016
