Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2014-10-29,21-101,OKC,@,POR,L (-17),1,26:37,3,4,.750,0,0,,2,3,.667,2,5,7,2,2,0,4,3,8,7.1,-4,2015,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2015
2,2,2014-10-30,21-102,OKC,@,LAC,L (-3),1,29:03,2,8,.250,0,1,.000,2,2,1.000,4,6,10,1,0,0,3,5,6,1.5,+3,2015,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2015
3,3,2014-11-01,21-104,OKC,,DEN,W (+11),1,26:49,6,10,.600,0,0,,1,2,.500,1,2,3,1,1,1,2,3,13,8.5,+9,2015,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2015
4,4,2014-11-03,21-106,OKC,@,BRK,L (-31),1,29:51,4,10,.400,0,0,,1,4,.250,4,5,9,0,1,0,1,4,9,5.1,-12,2015,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2015
5,5,2014-11-04,21-107,OKC,@,TOR,L (-12),1,30:58,3,4,.750,0,0,,4,6,.667,0,6,6,2,1,0,2,5,10,7.8,-6,2015,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2015
6,6,2014-11-07,21-110,OKC,,MEM,L (-2),1,33:54,6,9,.667,0,0,,1,2,.500,5,6,11,2,2,0,1,3,13,15.2,-1,2015,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2015
7,7,2014-11-09,21-112,OKC,,SAC,W (+8),1,22:44,2,3,.667,0,0,,0,0,,0,5,5,0,0,0,3,5,4,-0.8,-5,2015,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2015
8,8,2014-11-11,21-114,OKC,@,MIL,L (-7),1,25:00,0,4,.000,0,0,,2,4,.500,4,6,10,0,0,1,1,2,2,1.9,0,2015,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2015
9,9,2014-11-12,21-115,OKC,@,BOS,W (+15),1,24:03,3,8,.375,0,0,,3,4,.750,2,3,5,1,0,1,3,2,9,4.1,-11,2015,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2015
10,10,2014-11-14,21-117,OKC,,DET,L (-7),1,31:59,5,10,.500,0,0,,1,3,.333,5,3,8,2,1,5,2,4,11,11.9,-16,2015,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2015
11,11,2014-11-16,21-119,OKC,,HOU,L (-4),1,22:42,0,2,.000,0,0,,1,2,.500,3,3,6,1,0,6,2,5,1,3.1,-5,2015,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2015
12,12,2014-11-18,21-121,OKC,@,UTA,L (-17),1,26:37,5,9,.556,0,0,,1,4,.250,3,5,8,0,0,3,4,4,11,5.6,-2,2015,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2015
13,13,2014-11-19,21-122,OKC,@,DEN,L (-7),1,17:25,3,3,1.000,0,0,,2,5,.400,1,0,1,0,0,0,0,2,8,5.8,-12,2015,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2015
14,14,2014-11-21,21-124,OKC,,BRK,L (-2),1,25:42,4,5,.800,0,0,,2,5,.400,1,3,4,2,1,2,4,2,10,7.5,+6,2015,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2015
15,15,2014-11-23,21-126,OKC,,GSW,L (-5),1,26:00,4,7,.571,0,0,,2,2,1.000,2,4,6,0,0,1,0,2,10,9.2,+1,2015,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2015
16,16,2014-11-26,21-129,OKC,,UTA,W (+15),1,23:58,3,9,.333,0,0,,0,0,,5,6,11,2,0,0,1,2,6,5.8,+1,2015,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2015
17,17,2014-11-28,21-131,OKC,,NYK,W (+27),1,23:43,3,9,.333,0,0,,0,0,,2,11,13,0,1,0,2,3,6,3.4,+21,2015,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2015
18,18,2014-12-02,21-135,OKC,@,NOP,L (-8),1,22:08,1,2,.500,0,0,,0,1,.000,0,5,5,1,1,2,0,2,2,4.4,-11,2015,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2015
19,19,2014-12-05,21-138,OKC,@,PHI,W (+12),1,13:12,3,3,1.000,0,0,,1,2,.500,0,0,0,1,0,1,1,3,7,4.9,+12,2015,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2015
