Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2016-03-02,25-054,MIN,,WAS,L (-6),0,9:38,1,1,1.000,0,0,,2,4,.500,0,1,1,1,0,0,0,1,4,3.5,-12,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
2,2,2016-03-04,25-056,MIN,@,MIL,L (-15),0,18:14,2,2,1.000,0,0,,0,0,,1,5,6,0,0,0,0,6,4,3.2,0,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
3,3,2016-03-05,25-057,MIN,,BRK,W (+14),0,17:05,3,3,1.000,0,0,,0,0,,1,3,4,1,0,1,0,2,6,7.3,-6,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
4,4,2016-03-07,25-059,MIN,@,CHO,L (-5),0,2:52,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-5,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
5,5,2016-03-08,25-060,MIN,,SAS,L (-25),0,4:47,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,1,2,1,-0.5,-7,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
6,6,2016-03-11,25-063,MIN,@,OKC,W (+3),0,11:48,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.9,-7,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
7,,2016-03-14,25-066,MIN,@,PHO,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
8,7,2016-03-16,25-068,MIN,@,MEM,W (+6),0,12:34,2,4,.500,0,0,,0,0,,0,2,2,0,0,0,0,3,4,1.4,+3,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
9,8,2016-03-18,25-070,MIN,@,HOU,L (-5),0,7:33,0,0,,0,0,,0,2,.000,0,2,2,0,1,0,1,2,0,-1.0,+6,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
10,9,2016-03-21,25-073,MIN,,GSW,L (-5),0,8:51,0,4,.000,0,0,,0,0,,3,0,3,0,0,0,1,1,0,-2.1,-2,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
11,10,2016-03-23,25-075,MIN,,SAC,W (+9),0,14:15,3,4,.750,0,0,,1,4,.250,1,4,5,0,0,0,0,2,7,5.3,-5,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
12,11,2016-03-25,25-077,MIN,@,WAS,W (+3),0,14:30,2,3,.667,0,0,,1,1,1.000,2,0,2,0,0,0,0,3,5,3.9,-11,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
13,12,2016-03-26,25-078,MIN,,UTA,L (-9),0,18:14,1,5,.200,0,0,,0,0,,0,4,4,2,1,0,0,1,2,2.1,-18,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
14,13,2016-03-28,25-080,MIN,,PHO,W (+5),0,9:38,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,1,1,1,-0.5,+1,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
15,14,2016-03-30,25-082,MIN,,LAC,L (-20),0,16:48,0,1,.000,0,0,,1,2,.500,1,5,6,0,0,0,1,0,1,1.1,+7,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
16,15,2016-04-01,25-084,MIN,@,UTA,L (-13),0,12:48,3,3,1.000,0,0,,0,0,,1,0,1,0,1,0,1,1,6,5.4,-8,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
17,,2016-04-03,25-086,MIN,,DAL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
18,,2016-04-05,25-088,MIN,@,GSW,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
19,16,2016-04-07,25-090,MIN,@,SAC,W (+8),0,1:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-7,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
20,,2016-04-09,25-092,MIN,@,POR,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
21,17,2016-04-11,25-094,MIN,,HOU,L (-24),0,4:51,0,0,,0,0,,0,0,,1,1,2,1,0,0,0,0,0,1.7,-2,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
22,18,2016-04-13,25-096,MIN,,NOP,W (+35),0,6:21,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,1,0,-0.1,-4,2016,smithgr02,https://www.basketball-reference.com/players/s/smithgr02/gamelog/2016
