Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2001-10-31,19-298,GSW,@,POR,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
2,,2001-11-01,19-299,GSW,,PHO,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
3,,2001-11-03,19-301,GSW,@,LAC,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
4,1,2001-11-04,19-302,GSW,,POR,W (+10),0,2:42,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2.5,-7,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
5,2,2001-11-07,19-305,GSW,@,TOR,L (-17),0,8:15,0,1,.000,0,1,.000,1,2,.500,0,1,1,1,0,0,0,0,1,0.9,+1,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
6,,2001-11-09,19-307,GSW,@,WAS,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
7,3,2002-01-02,19-361,GSW,@,CLE,L (-15),0,3:19,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,+3,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
8,,2002-01-03,19-362,GSW,@,CHH,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
9,,2002-01-05,19-364,GSW,@,ORL,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
10,4,2002-01-06,20-000,GSW,@,MIA,L (-8),0,4:28,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,+2,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
11,,2002-01-08,20-002,GSW,,MIL,L (-16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
12,,2002-01-14,20-008,GSW,,MIA,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
13,5,2002-01-16,20-010,GSW,,CLE,W (+29),0,4:24,3,4,.750,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,7,5.7,+1,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
14,6,2002-01-18,20-012,GSW,@,SAC,L (-24),0,3:04,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,-6,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
15,7,2002-01-19,20-013,GSW,,MIN,L (-3),0,6:29,3,3,1.000,1,1,1.000,1,1,1.000,0,1,1,0,1,0,1,2,8,6.6,+2,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
16,8,2002-01-21,20-015,GSW,,UTA,L (-2),0,9:26,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,3,0,-0.9,-6,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
17,9,2002-01-23,20-017,GSW,,MEM,W (+12),0,6:22,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,3,0,-2.2,-3,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
18,,2002-01-26,20-020,GSW,,SAS,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
19,,2002-01-29,20-023,GSW,@,HOU,L (-4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
20,,2002-02-01,20-026,GSW,@,PHO,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
21,10,2002-02-03,20-028,GSW,,PHO,L (-1),0,3:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-1,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
22,11,2002-02-05,20-030,GSW,,SEA,L (-26),0,16:24,2,5,.400,0,0,,0,0,,0,1,1,1,1,0,2,1,4,0.9,-8,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
23,12,2002-02-13,20-038,GSW,,BOS,W (+17),0,8:03,1,4,.250,0,2,.000,0,0,,0,3,3,1,0,0,2,1,2,-1.2,0,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
24,13,2002-02-15,20-040,GSW,,SAS,L (-9),1,24:51,2,8,.250,0,3,.000,4,4,1.000,3,2,5,3,1,0,3,3,8,4.8,-7,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
25,14,2002-02-17,20-042,GSW,,ATL,L (-6),0,19:01,1,3,.333,0,0,,10,10,1.000,3,2,5,4,0,2,0,1,12,16.8,+13,2002,arenagi01,https://www.basketball-reference.com/players/a/arenagi01/gamelog/2002
