Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2010-10-27,22-216,MEM,,ATL,L (-15),1,30:44,8,12,.667,0,0,,3,3,1.000,0,3,3,0,0,0,2,6,19,10.3,-9,2011,arthuda01,https://www.basketball-reference.com/players/a/arthuda01/gamelog/2011
2,2,2010-10-29,22-218,MEM,@,DAL,W (+1),1,26:39,6,10,.600,0,0,,2,2,1.000,2,3,5,1,1,1,1,5,14,11.1,+6,2011,arthuda01,https://www.basketball-reference.com/players/a/arthuda01/gamelog/2011
3,3,2010-10-30,22-219,MEM,,MIN,W (+20),1,30:31,7,13,.538,0,0,,4,4,1.000,1,5,6,1,2,0,1,5,18,13.6,+18,2011,arthuda01,https://www.basketball-reference.com/players/a/arthuda01/gamelog/2011
4,4,2010-11-02,22-222,MEM,@,LAL,L (-19),1,34:19,5,15,.333,0,0,,0,1,.000,2,5,7,2,2,1,1,2,10,6.3,-11,2011,arthuda01,https://www.basketball-reference.com/players/a/arthuda01/gamelog/2011
5,5,2010-11-03,22-223,MEM,@,GSW,L (-6),1,27:50,5,9,.556,0,0,,0,0,,1,3,4,0,0,0,2,6,10,2.9,+8,2011,arthuda01,https://www.basketball-reference.com/players/a/arthuda01/gamelog/2011
6,6,2010-11-05,22-225,MEM,@,PHO,L (-5),0,25:27,4,7,.571,0,0,,2,4,.500,5,6,11,0,2,2,3,2,10,10.8,-1,2011,arthuda01,https://www.basketball-reference.com/players/a/arthuda01/gamelog/2011
7,7,2010-11-06,22-226,MEM,@,SAC,W (+9),0,14:28,2,5,.400,0,0,,0,0,,3,4,7,0,0,0,1,1,4,3.2,+7,2011,arthuda01,https://www.basketball-reference.com/players/a/arthuda01/gamelog/2011
8,8,2010-11-08,22-228,MEM,,PHO,W (+10),0,20:28,0,0,,0,0,,2,2,1.000,1,1,2,0,1,1,1,1,2,3.3,-3,2011,arthuda01,https://www.basketball-reference.com/players/a/arthuda01/gamelog/2011
9,9,2010-11-10,22-230,MEM,,DAL,L (-15),0,17:29,3,4,.750,0,0,,3,4,.750,0,3,3,0,0,0,1,1,9,6.5,-11,2011,arthuda01,https://www.basketball-reference.com/players/a/arthuda01/gamelog/2011
10,10,2010-11-13,22-233,MEM,,BOS,L (-6),0,16:37,3,6,.500,0,0,,0,0,,2,4,6,0,0,0,0,1,6,5.2,+9,2011,arthuda01,https://www.basketball-reference.com/players/a/arthuda01/gamelog/2011
11,11,2010-11-15,22-235,MEM,@,ORL,L (-17),0,18:31,3,7,.429,0,0,,1,2,.500,0,4,4,1,0,1,1,3,7,3.3,-11,2011,arthuda01,https://www.basketball-reference.com/players/a/arthuda01/gamelog/2011
12,12,2010-11-16,22-236,MEM,,POR,L (-1),0,18:29,2,4,.500,0,0,,4,4,1.000,0,0,0,0,1,1,2,5,8,3.7,+4,2011,arthuda01,https://www.basketball-reference.com/players/a/arthuda01/gamelog/2011
13,13,2010-11-19,22-239,MEM,@,WAS,L (-3),0,13:15,2,5,.400,0,0,,1,2,.500,2,2,4,1,1,0,1,4,5,3.0,+1,2011,arthuda01,https://www.basketball-reference.com/players/a/arthuda01/gamelog/2011
14,14,2010-11-20,22-240,MEM,,MIA,W (+2),1,28:47,7,9,.778,0,0,,0,0,,1,5,6,1,0,1,1,3,14,11.9,+9,2011,arthuda01,https://www.basketball-reference.com/players/a/arthuda01/gamelog/2011
15,15,2010-11-24,22-244,MEM,,DET,W (+21),0,26:29,7,9,.778,0,0,,0,0,,1,5,6,0,2,1,0,3,14,14.2,+2,2011,arthuda01,https://www.basketball-reference.com/players/a/arthuda01/gamelog/2011
16,16,2010-11-26,22-246,MEM,,GSW,W (+5),0,20:51,3,8,.375,0,0,,0,0,,1,5,6,2,1,4,1,2,6,7.2,-4,2011,arthuda01,https://www.basketball-reference.com/players/a/arthuda01/gamelog/2011
17,17,2010-11-27,22-247,MEM,@,CLE,L (-6),0,20:47,2,5,.400,0,0,,0,0,,0,7,7,0,1,1,0,3,4,3.9,+6,2011,arthuda01,https://www.basketball-reference.com/players/a/arthuda01/gamelog/2011
18,,2010-11-30,22-250,MEM,,LAL,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,arthuda01,https://www.basketball-reference.com/players/a/arthuda01/gamelog/2011
