Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,1999-02-05,22-359,BOS,,TOR,L (-11),1,18:39,2,2,1.000,0,0,,3,4,.750,1,1,2,1,0,0,2,6,7,3.3,-6,1999,battito01,https://www.basketball-reference.com/players/b/battito01/gamelog/1999
2,2,1999-02-06,22-360,BOS,,CLE,W (+4),0,21:23,3,5,.600,0,0,,0,0,,0,4,4,0,1,0,0,1,6,5.5,+6,1999,battito01,https://www.basketball-reference.com/players/b/battito01/gamelog/1999
3,3,1999-02-08,22-362,BOS,@,ORL,L (-17),1,19:17,4,7,.571,0,0,,0,0,,1,0,1,0,1,1,0,3,8,5.9,-2,1999,battito01,https://www.basketball-reference.com/players/b/battito01/gamelog/1999
4,4,1999-02-09,22-363,BOS,@,MIA,W (+7),0,14:10,3,8,.375,0,0,,0,0,,1,1,2,0,0,0,0,5,6,0.6,-9,1999,battito01,https://www.basketball-reference.com/players/b/battito01/gamelog/1999
5,5,1999-02-16,23-005,BOS,@,SAC,L (-3),0,15:58,2,2,1.000,0,0,,0,0,,1,1,2,0,0,0,1,5,4,1.4,+11,1999,battito01,https://www.basketball-reference.com/players/b/battito01/gamelog/1999
6,6,1999-02-17,23-006,BOS,@,VAN,W (+2),1,26:18,3,5,.600,0,0,,2,2,1.000,3,3,6,1,2,3,1,3,8,11.3,+4,1999,battito01,https://www.basketball-reference.com/players/b/battito01/gamelog/1999
7,7,1999-02-19,23-008,BOS,@,POR,L (-20),0,25:32,8,14,.571,0,0,,0,0,,3,2,5,1,2,3,2,4,16,13.3,+1,1999,battito01,https://www.basketball-reference.com/players/b/battito01/gamelog/1999
8,8,1999-02-21,23-010,BOS,@,WAS,L (-11),0,26:14,1,5,.200,0,0,,0,2,.000,3,8,11,0,0,2,3,2,2,0.2,-14,1999,battito01,https://www.basketball-reference.com/players/b/battito01/gamelog/1999
9,9,1999-02-24,23-013,BOS,,ORL,W (+32),0,13:44,0,3,.000,0,0,,0,0,,3,1,4,2,0,1,0,4,0,0.8,+2,1999,battito01,https://www.basketball-reference.com/players/b/battito01/gamelog/1999
10,10,1999-02-26,23-015,BOS,,NYK,W (+14),0,22:45,3,3,1.000,0,0,,0,0,,4,4,8,2,0,1,1,2,6,9.4,+25,1999,battito01,https://www.basketball-reference.com/players/b/battito01/gamelog/1999
11,11,1999-02-27,23-016,BOS,@,NJN,W (+9),1,23:28,1,7,.143,0,0,,1,1,1.000,1,6,7,1,0,2,1,4,3,0.5,0,1999,battito01,https://www.basketball-reference.com/players/b/battito01/gamelog/1999
12,12,1999-03-01,23-018,BOS,,NJN,L (-2),1,34:27,6,8,.750,0,0,,0,0,,2,2,4,2,1,4,2,4,12,12.4,0,1999,battito01,https://www.basketball-reference.com/players/b/battito01/gamelog/1999
13,13,1999-03-02,23-019,BOS,@,CLE,L (-17),0,19:22,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,4,2,-0.6,-21,1999,battito01,https://www.basketball-reference.com/players/b/battito01/gamelog/1999
14,14,1999-03-05,23-022,BOS,,DEN,W (+8),1,26:25,1,2,.500,0,0,,1,1,1.000,0,1,1,0,0,3,1,4,3,1.8,+11,1999,battito01,https://www.basketball-reference.com/players/b/battito01/gamelog/1999
15,15,1999-03-07,23-024,BOS,@,TOR,L (-13),1,20:26,4,5,.800,0,0,,2,2,1.000,0,1,1,2,0,0,0,2,10,9.0,+4,1999,battito01,https://www.basketball-reference.com/players/b/battito01/gamelog/1999
16,16,1999-03-09,23-026,BOS,@,CHH,L (-18),0,20:05,2,4,.500,0,0,,1,2,.500,2,3,5,1,0,1,0,5,5,4.3,-13,1999,battito01,https://www.basketball-reference.com/players/b/battito01/gamelog/1999
