Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2016-10-26,26-283,BOS,,BRK,W (+5),0,16:26,6,7,.857,0,0,,1,2,.500,2,2,4,3,0,2,1,2,13,13.8,-9,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
2,2,2016-10-27,26-284,BOS,@,CHI,L (-6),0,20:18,3,9,.333,0,0,,0,1,.000,1,4,5,1,0,2,1,3,6,2.3,+2,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
3,3,2016-10-29,26-286,BOS,@,CHO,W (+6),0,12:04,1,1,1.000,0,0,,0,0,,0,4,4,1,0,1,0,3,2,3.1,-3,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
4,4,2016-11-02,26-290,BOS,,CHI,W (+7),1,24:45,5,11,.455,0,0,,1,2,.500,3,1,4,0,1,0,0,3,11,7.1,+10,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
5,5,2016-11-03,26-291,BOS,@,CLE,L (-6),1,27:46,5,8,.625,0,0,,1,2,.500,3,7,10,6,0,2,0,3,11,15.6,-7,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
6,6,2016-11-06,26-294,BOS,,DEN,L (-16),1,25:46,3,7,.429,0,0,,0,0,,0,5,5,2,1,1,1,5,6,3.9,-11,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
7,7,2016-11-09,26-297,BOS,@,WAS,L (-25),1,14:18,3,4,.750,0,0,,0,0,,1,1,2,1,0,1,0,0,6,6.8,-3,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
8,8,2016-11-11,26-299,BOS,,NYK,W (+28),0,20:49,3,6,.500,0,0,,5,7,.714,1,3,4,0,2,1,3,4,11,6.9,+15,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
9,9,2016-11-12,26-300,BOS,@,IND,W (+6),0,15:46,3,6,.500,0,0,,1,2,.500,4,2,6,0,0,1,0,0,7,7.7,+5,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
10,10,2016-11-14,26-302,BOS,@,NOP,L (-1),0,5:07,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-0.7,-5,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
11,11,2016-11-16,26-304,BOS,,DAL,W (+7),0,8:24,2,6,.333,0,0,,0,0,,2,2,4,0,0,0,0,0,4,2.6,0,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
12,12,2016-11-18,26-306,BOS,,GSW,L (-16),0,23:22,2,6,.333,0,0,,1,2,.500,3,4,7,2,0,0,2,1,5,3.5,+11,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
13,13,2016-11-19,26-307,BOS,@,DET,W (+2),0,3:41,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,0,0,2,1.0,-1,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
14,14,2016-11-21,26-309,BOS,@,MIN,W (+6),0,8:41,1,1,1.000,0,0,,0,0,,0,3,3,1,0,0,0,1,2,2.9,-3,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
15,15,2016-11-23,26-311,BOS,@,BRK,W (+19),0,7:52,1,2,.500,0,0,,0,0,,1,3,4,0,0,2,0,1,2,3.6,+9,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
16,16,2016-11-25,26-313,BOS,,SAS,L (-6),0,2:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
17,17,2016-11-28,26-316,BOS,@,MIA,W (+8),1,25:20,4,7,.571,0,0,,2,2,1.000,3,4,7,2,0,1,1,4,10,9.5,0,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
18,18,2016-11-30,26-318,BOS,,DET,L (-7),0,4:57,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,0,2,1,0.5,-1,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
19,19,2016-12-02,26-320,BOS,,SAC,W (+5),0,4:08,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-1.0,-9,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
20,20,2016-12-03,26-321,BOS,@,PHI,W (+1),0,3:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+1,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
21,,2016-12-05,26-323,BOS,@,HOU,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
22,21,2016-12-07,26-325,BOS,@,ORL,W (+30),0,7:09,0,1,.000,0,0,,0,0,,0,1,1,1,1,1,0,0,0,2.0,+2,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
23,22,2016-12-09,26-327,BOS,,TOR,L (-7),0,5:29,0,3,.000,0,0,,0,0,,1,2,3,1,0,0,0,0,0,-0.1,-1,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
24,,2016-12-11,26-329,BOS,@,OKC,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
25,23,2016-12-14,26-332,BOS,@,SAS,L (-7),0,11:32,1,3,.333,0,0,,0,0,,0,1,1,2,0,0,0,0,2,2.0,0,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
26,,2016-12-16,26-334,BOS,,CHO,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
27,24,2016-12-18,26-336,BOS,@,MIA,W (+10),0,3:57,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,+4,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
28,,2016-12-20,26-338,BOS,@,MEM,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
29,,2016-12-22,26-340,BOS,@,IND,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
30,25,2016-12-23,26-341,BOS,,OKC,L (-5),0,6:59,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,-1,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
31,,2016-12-25,26-343,BOS,@,NYK,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
32,26,2016-12-27,26-345,BOS,,MEM,W (+10),0,6:21,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-0.4,0,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
33,27,2016-12-29,26-347,BOS,@,CLE,L (-6),0,9:40,3,4,.750,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,8,6.4,+13,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
34,,2016-12-30,26-348,BOS,,MIA,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
35,,2017-01-03,26-352,BOS,,UTA,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
36,,2017-01-06,26-355,BOS,,PHI,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
37,,2017-01-07,26-356,BOS,,NOP,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
38,,2017-01-10,26-359,BOS,@,TOR,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
39,,2017-01-11,26-360,BOS,,WAS,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
40,,2017-01-13,26-362,BOS,@,ATL,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
41,,2017-01-16,26-365,BOS,,CHO,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
42,,2017-01-18,27-001,BOS,,NYK,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
43,,2017-01-21,27-004,BOS,,POR,L (-4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
44,,2017-01-24,27-007,BOS,@,WAS,L (-15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
45,,2017-01-25,27-008,BOS,,HOU,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
46,28,2017-01-27,27-010,BOS,,ORL,W (+30),0,19:34,5,9,.556,0,0,,0,0,,1,2,3,2,1,1,0,1,10,9.7,+3,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
47,29,2017-01-28,27-011,BOS,@,MIL,W (+4),0,14:52,2,6,.333,0,0,,0,2,.000,3,2,5,0,0,1,1,1,4,1.8,-1,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
48,,2017-01-30,27-013,BOS,,DET,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
49,30,2017-02-01,27-015,BOS,,TOR,W (+5),0,16:11,2,3,.667,0,0,,0,0,,2,3,5,1,0,1,0,3,4,5.2,+8,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
50,31,2017-02-03,27-017,BOS,,LAL,W (+6),0,4:17,0,2,.000,0,0,,0,0,,0,3,3,0,0,0,0,1,0,-0.9,-1,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
51,,2017-02-05,27-019,BOS,,LAC,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
52,32,2017-02-08,27-022,BOS,@,SAC,L (-16),0,7:43,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,1.3,0,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
53,33,2017-02-09,27-023,BOS,@,POR,W (+9),0,6:36,1,1,1.000,0,0,,0,0,,2,1,3,0,0,0,2,2,2,0.6,+10,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
54,,2017-02-11,27-025,BOS,@,UTA,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
55,,2017-02-13,27-027,BOS,@,DAL,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
56,34,2017-02-15,27-029,BOS,,PHI,W (+8),0,8:45,1,1,1.000,0,0,,0,0,,0,2,2,1,0,0,1,1,2,1.6,-7,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
57,35,2017-02-16,27-030,BOS,@,CHI,L (-1),0,8:50,2,2,1.000,0,0,,0,0,,0,0,0,4,0,0,0,0,4,6.2,+3,2017,zellety01,https://www.basketball-reference.com/players/z/zellety01/gamelog/2017
